"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Standard level component,Biology,9,0,0,0,0,0,7,2,0
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,History,6,0,0,0,0,0,4,2,0
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Higher level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Standard level component,Mathematical Studies,13,0,0,0,0,0,1,12,0
