"Number of students entered for an International Baccalaureate diploma programme core by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,IBO Diploma Programme Core,Study Skills,18,9,4,5,0,0,0
Lewisham,100740,Deptford Green School,Community School,IBO Diploma Programme Core,Study Skills,11,4,4,1,2,0,0
Lewisham,100754,St Dunstan's College,Independent School,IBO Diploma Programme Core,Study Skills,9,1,3,3,2,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Diploma Programme Core,Study Skills,36,2,13,16,5,0,0
Barnet,101391,Dwight School London,Independent School,IBO Diploma Programme Core,Study Skills,22,1,5,8,7,0,1
Croydon,101837,Whitgift School,Independent School,IBO Diploma Programme Core,Study Skills,30,2,8,13,7,0,0
Ealing,101957,King Fahad Academy,Independent School,IBO Diploma Programme Core,Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,IBO Diploma Programme Core,Study Skills,22,17,1,4,0,0,0
Hillingdon,102453,St Helen's School,Independent School,IBO Diploma Programme Core,Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102684,King's College School,Independent School,IBO Diploma Programme Core,Study Skills,190,61,62,50,17,0,0
Birmingham,103584,King Edward's School,Independent School,IBO Diploma Programme Core,Study Skills,102,26,33,39,4,0,0
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,IBO Diploma Programme Core,Study Skills,21,1,1,7,11,0,1
St. Helens,104829,Cowley International College,Community School,IBO Diploma Programme Core,Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105591,The Manchester Grammar School,Independent School,IBO Diploma Programme Core,Study Skills,12,4,7,1,0,0,0
Manchester,105592,Manchester High School for Girls,Independent School,IBO Diploma Programme Core,Study Skills,6,2,4,0,0,0,0
Bath and North East Somerset,109348,Royal High School GDST,Independent School,IBO Diploma Programme Core,Study Skills,10,5,3,1,1,0,0
North Somerset,109362,Sidcot School,Independent School,IBO Diploma Programme Core,Study Skills,12,0,2,9,1,0,0
"Bristol, City of",109371,The Red Maids' School,Independent School,IBO Diploma Programme Core,Study Skills,15,7,5,3,0,0,0
Bedford,109718,Bedford School,Independent School,IBO Diploma Programme Core,Study Skills,41,5,18,12,6,0,0
Bedford,109727,Bedford Girls' School,Independent School,IBO Diploma Programme Core,Study Skills,15,3,7,4,1,0,0
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Diploma Programme Core,Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Diploma Programme Core,Study Skills,16,2,5,9,0,0,0
West Berkshire,110121,Bradfield College,Independent School,IBO Diploma Programme Core,Study Skills,16,6,5,5,0,0,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Diploma Programme Core,Study Skills,55,26,22,3,4,0,0
Reading,110165,The Abbey School Reading,Independent School,IBO Diploma Programme Core,Study Skills,12,2,5,4,1,0,0
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Diploma Programme Core,Study Skills,13,6,6,0,1,0,0
Cornwall,112069,Gems Bolitho School,Independent School,IBO Diploma Programme Core,Study Skills,10,1,5,3,1,0,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Diploma Programme Core,Study Skills,32,6,14,9,3,0,0
Plymouth,113609,Plymouth College,Independent School,IBO Diploma Programme Core,Study Skills,11,0,2,9,0,0,0
Dorset,113910,Bryanston School,Independent School,IBO Diploma Programme Core,Study Skills,11,2,3,5,1,0,0
Dorset,113918,Sherborne School,Independent School,IBO Diploma Programme Core,Study Skills,25,1,4,7,12,0,1
Dorset,113919,Sherborne School for Girls,Independent School,IBO Diploma Programme Core,Study Skills,12,1,8,3,0,0,0
East Sussex,114656,Buckswood School,Independent School,IBO Diploma Programme Core,Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,IBO Diploma Programme Core,Study Skills,17,1,6,5,5,0,0
Essex,115429,Brentwood School,Independent School,IBO Diploma Programme Core,Study Skills,25,3,9,8,4,1,0
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,IBO Diploma Programme Core,Study Skills,32,11,14,6,1,0,0
Portsmouth,116583,The Portsmouth Grammar School,Independent School,IBO Diploma Programme Core,Study Skills,9,2,2,3,2,0,0
Worcestershire,117012,Bromsgrove School,Independent School,IBO Diploma Programme Core,Study Skills,28,6,10,6,6,0,0
Worcestershire,117017,Malvern College,Independent School,IBO Diploma Programme Core,Study Skills,85,13,36,29,7,0,0
Hertfordshire,117607,Haileybury and Imperial Service College,Independent School,IBO Diploma Programme Core,Study Skills,51,13,18,12,6,0,2
Isle of Wight,118223,Ryde School with Upper Chine,Independent School,IBO Diploma Programme Core,Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118789,Tunbridge Wells Girls' Grammar School,Foundation School,IBO Diploma Programme Core,Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118931,Dover Grammar School for Boys,Foundation School,IBO Diploma Programme Core,Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118952,Sevenoaks School,Independent School,IBO Diploma Programme Core,Study Skills,218,82,72,57,6,0,1
Kent,118991,Cobham Hall,Independent School,IBO Diploma Programme Core,Study Skills,17,4,1,9,0,0,3
Kent,119001,Kent College (Canterbury),Independent School,IBO Diploma Programme Core,Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119818,Rossall School,Independent School,IBO Diploma Programme Core,Study Skills,25,1,8,10,6,0,0
Rutland,120322,Oakham School,Independent School,IBO Diploma Programme Core,Study Skills,49,12,16,19,2,0,0
Norfolk,121222,Gresham's School,Independent School,IBO Diploma Programme Core,Study Skills,40,12,10,12,4,0,2
York,121673,Huntington School,Community School,IBO Diploma Programme Core,Study Skills,8,1,3,2,2,0,0
North Yorkshire,121730,Scarborough College,Independent School,IBO Diploma Programme Core,Study Skills,21,1,3,13,4,0,0
North Yorkshire,121743,Queen Ethelburga's College,Independent School,IBO Diploma Programme Core,Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123290,Headington School,Independent School,IBO Diploma Programme Core,Study Skills,17,10,7,0,0,0,0
Oxfordshire,123292,St Edward's School,Independent School,IBO Diploma Programme Core,Study Skills,28,5,13,8,2,0,0
Shropshire,123600,Ellesmere College,Independent School,IBO Diploma Programme Core,Study Skills,13,0,4,5,4,0,0
Somerset,123914,Taunton School,Independent School,IBO Diploma Programme Core,Study Skills,36,7,8,16,5,0,0
