"Number of students entered for the AQA Baccalaureate by institution, subject and grade achieved",,,,,,,,,
,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Distinction,Merit,Pass,No results
Richmond upon Thames,102932,The Lady Eleanor Holles School,Independent School,AQA Baccalaureate Core,22,16,6,0,0
Birmingham,103585,King Edward VI High School for Girls,Independent School,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Wolverhampton,104411,Wolverhampton Grammar School,Independent School,AQA Baccalaureate Core,68,5,45,15,3
Liverpool,104698,Calderstones School,Community School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Sefton,104974,Merchant Taylors Girls School,Independent School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,AQA Baccalaureate Core,7,0,4,3,0
Bolton,105253,Turton School,Community School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Bolton,105271,Bolton School Boys' Division,Independent School,AQA Baccalaureate Core,14,3,11,0,0
Bolton,105272,Bolton School Girls' Division,Independent School,AQA Baccalaureate Core,20,14,6,0,0
Bury,105374,Bury Grammar School Girls,Independent School,AQA Baccalaureate Core,16,12,4,0,0
Sheffield,107140,King Edward VII School,Community School,AQA Baccalaureate Core,27,4,15,7,1
Sheffield,107166,Sheffield High School,Independent School,AQA Baccalaureate Core,9,6,3,0,0
Bradford,107441,Oakbank School,Foundation School,AQA Baccalaureate Core,9,0,3,0,6
Newcastle upon Tyne,108542,Westfield School,Independent School,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
South Tyneside,108726,Harton Technology College,Community School,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Bath and North East Somerset,109306,Chew Valley School,Foundation School,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Luton,109699,Cardinal Newman Catholic School A Specialist Science College,Voluntary Aided School,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110119,St George's School,Independent School,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Buckinghamshire,110528,Beaconsfield High School,Foundation School,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Peterborough,110910,The Peterborough School,Independent School,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Cheshire East,111443,Wilmslow High School,Community School,AQA Baccalaureate Core,4,Supp,Supp,Supp,Supp
Derbyshire,113007,Ockbrook School,Independent School,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Devon,113608,The Maynard School,Independent School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Dorset,113882,Gillingham School,Voluntary Controlled School,AQA Baccalaureate Core,13,2,9,2,0
County Durham,114300,Whitworth Park School and Sixth Form College,Foundation School,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Worcestershire,116994,Hagley Catholic High School,Voluntary Aided School,AQA Baccalaureate Core,15,1,8,5,1
Kent,118790,Tunbridge Wells Grammar School for Boys,Community School,AQA Baccalaureate Core,7,2,4,1,0
Kent,118836,Maidstone Grammar School for Girls,Foundation School,AQA Baccalaureate Core,9,2,6,1,0
Kent,118840,Simon Langton Girls' Grammar School,Voluntary Controlled School,AQA Baccalaureate Core,11,2,6,1,2
Kent,118883,Dartford Grammar School for Girls,Foundation School,AQA Baccalaureate Core,19,5,14,0,0
Kent,118998,St Edmunds School Canterbury,Independent School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Lancashire,119813,Baines School,Voluntary Aided School,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Blackburn with Darwen,119826,Westholme School,Independent School,AQA Baccalaureate Core,12,1,7,2,2
Lancashire,119835,Kirkham Grammar School,Independent School,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Leicestershire,120236,Charnwood College (Upper),Foundation School,AQA Baccalaureate Core,10,4,3,3,0
Leicestershire,120334,Leicester Grammar School Trust,Independent School,AQA Baccalaureate Core,30,9,11,3,7
