"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
Kensington and Chelsea,100506,The Cardinal Vaughan Memorial RC School,Voluntary Aided School,Pre-U Principal Subject,Music,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100526,Duff Miller College,Independent School,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100526,Duff Miller College,Independent School,Pre-U Principal Subject,Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,100861,Dulwich College,Independent School,Pre-U Principal Subject,Classical Greek,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,100861,Dulwich College,Independent School,Pre-U Principal Subject,Latin,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,100863,James Allen's Girls' School,Independent School,Pre-U Principal Subject,English Literature,24,4,14,4,2,0,0,0,0,0,0
Wandsworth,101064,Ibstock Place School,Independent School,Pre-U Principal Subject,Art & Design,7,0,1,0,3,1,2,0,0,0,0
Wandsworth,101064,Ibstock Place School,Independent School,Pre-U Principal Subject,Chinese,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101064,Ibstock Place School,Independent School,Pre-U Principal Subject,Music,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,101162,Westminster School,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),19,4,4,6,2,3,0,0,0,0,0
Westminster,101162,Westminster School,Independent School,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
