"Number of students entered for a level 3 free standing mathematics qualification by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Camden,100050,Parliament Hill School,Community School,Free standing Maths Qual Level 3,Using & Applying Statistics,2,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100056,William Ellis School,Voluntary Aided School,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,100529,Davies Laing and Dick College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Free standing Maths Qual Level 3,Dynamics,6,0,0,0,0,1,5
Wandsworth,101053,Ernest Bevin College,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,0,0,0,0,0,6
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102679,Rutlish School,Voluntary Controlled School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103522,John Willmott School,Community School,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103522,John Willmott School,Community School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,1,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,Free standing Maths Qual Level 3,Data Analysis,6,1,1,1,1,0,2
St. Helens,104829,Cowley International College,Community School,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,0,0,3,1,0,2
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,5,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Dynamics,2,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Modelling with Calculus,2,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,3,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Free standing Maths Qual Level 3,Using & Applying Statistics,5,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,106955,Wickersley School and Sports College,Community School,Free standing Maths Qual Level 3,Data Analysis,6,1,1,3,0,1,0
Rotherham,106955,Wickersley School and Sports College,Community School,Free standing Maths Qual Level 3,Modelling with Calculus,4,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,106955,Wickersley School and Sports College,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,0,2,2,1,0,1
Leeds,108088,Wetherby High School,Foundation School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108088,Wetherby High School,Foundation School,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108088,Wetherby High School,Foundation School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109300,Sir Bernard Lovell School,Foundation School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109300,Sir Bernard Lovell School,Foundation School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",109334,Clifton College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109718,Bedford School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110047,The Brakenhale School,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,3,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110109,Queen Anne's School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,5,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110152,Marist Senior School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110536,Akeley Wood Senior School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110873,The Netherhall School,Foundation School,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110873,The Netherhall School,Foundation School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110916,The King's School Ely,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111436,Poynton High School,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112041,Torpoint Community College,Foundation School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,2,Supp,Supp,Supp,Supp,Supp,Supp
