"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
City of london,100001,City of London School for Girls,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Camden,100049,Haverstock School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Camden,100051,Regent High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100506,The Cardinal Vaughan Memorial RC School,Voluntary Aided School,Advanced Extension Award,Mathematics,7,0,0,0,7,0
Kensington and Chelsea,100526,Duff Miller College,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Westminster,100529,Davies Laing and Dick College,Independent School,Advanced Extension Award,Mathematics,9,0,2,0,7,0
Kensington and Chelsea,100537,Ashbourne Independent School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100540,Mander Portman Woodward School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Southwark,100861,Dulwich College,Independent School,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Wandsworth,101064,Ibstock Place School,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Barnet,101362,Finchley Catholic High School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Barnet,101393,Brampton College,Independent School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Ealing,101932,Acton High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Ealing,101940,Greenford High School,Foundation School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Enfield,102055,The Latymer School,Voluntary Aided School,Advanced Extension Award,Mathematics,14,1,5,0,8,0
Haringey,102156,Fortismere School,Foundation School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
