"Number of students entered for an extended project (diploma) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No results
City of london,100001,City of London School for Girls,Independent School,Extended Project (Diploma),Study Skills,11,4,5,1,0,0,0,1
Camden,100049,Haverstock School,Community School,Extended Project (Diploma),Study Skills,6,0,0,0,3,2,0,1
Camden,100050,Parliament Hill School,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100051,Regent High School,Community School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100052,Hampstead School,Community School,Extended Project (Diploma),Study Skills,8,1,1,0,1,3,0,2
Camden,100053,Acland Burghley School,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100054,The Camden School for Girls,Voluntary Aided School,Extended Project (Diploma),Study Skills,55,2,18,29,3,2,1,0
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100056,William Ellis School,Voluntary Aided School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100065,University College School,Independent School,Extended Project (Diploma),Study Skills,20,15,3,0,1,1,0,0
Camden,100084,Fine Arts College,Independent School,Extended Project (Diploma),Study Skills,8,2,3,3,0,0,0,0
Greenwich,100183,Plumstead Manor School,Community School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,Extended Project (Diploma),Study Skills,8,0,0,2,3,1,0,2
Greenwich,100190,Thomas Tallis School,Community School,Extended Project (Diploma),Study Skills,43,7,10,13,11,1,1,0
Greenwich,100192,The John Roan School,Voluntary Controlled School,Extended Project (Diploma),Study Skills,6,2,2,1,1,0,0,0
Greenwich,100202,Colfes School,Independent School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,100277,Haggerston School,Community School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,100279,Stoke Newington School and Sixth Form,Community School,Extended Project (Diploma),Study Skills,6,0,0,0,0,3,1,2
Hackney,100284,The Urswick School - A Church of England Secondary School,Voluntary Aided School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100359,Phoenix High School,Foundation School,Extended Project (Diploma),Study Skills,14,1,1,3,2,0,3,4
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,Extended Project (Diploma),Study Skills,47,16,23,5,2,1,0,0
Hammersmith and Fulham,100370,Latymer Upper School,Independent School,Extended Project (Diploma),Study Skills,35,21,10,1,3,0,0,0
Islington,100452,Highbury Grove School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100455,Highbury Fields School,Community School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100511,Queen's Gate School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,100528,St James Senior Boys' School,Independent School,Extended Project (Diploma),Study Skills,8,0,0,3,4,1,0,0
Westminster,100529,Davies Laing and Dick College,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,100536,Lansdowne College,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100537,Ashbourne Independent School,Independent School,Extended Project (Diploma),Study Skills,8,1,1,0,1,0,0,5
Kensington and Chelsea,100540,Mander Portman Woodward School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,100541,Portland Place School,Independent School,Extended Project (Diploma),Study Skills,7,0,3,2,0,0,1,1
Kensington and Chelsea,100544,David Game College,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,Extended Project (Diploma),Study Skills,67,15,11,16,15,8,2,0
Lambeth,100642,London Nautical School,Foundation School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100648,Streatham and Clapham High School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100740,Deptford Green School,Community School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Extended Project (Diploma),Study Skills,6,0,0,2,1,2,1,0
Lewisham,100745,Forest Hill School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Extended Project (Diploma),Study Skills,9,1,3,3,2,0,0,0
Greenwich,100756,Blackheath High School,Independent School,Extended Project (Diploma),Study Skills,17,6,6,4,1,0,0,0
Lewisham,100757,Sydenham High School GDST,Independent School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,100863,James Allen's Girls' School,Independent School,Extended Project (Diploma),Study Skills,9,5,3,0,1,0,0,0
Tower Hamlets,100970,St Paul's Way Trust School,Foundation School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100972,Oaklands School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Extended Project (Diploma),Study Skills,24,0,0,5,12,7,0,0
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Extended Project (Diploma),Study Skills,32,2,3,3,7,3,0,14
Wandsworth,101064,Ibstock Place School,Independent School,Extended Project (Diploma),Study Skills,20,4,5,8,3,0,0,0
Wandsworth,101072,Putney High School,Independent School,Extended Project (Diploma),Study Skills,12,8,2,2,0,0,0,0
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,101158,Francis Holland School,Independent School,Extended Project (Diploma),Study Skills,6,0,5,0,1,0,0,0
Westminster,101161,Francis Holland School,Independent School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,101162,Westminster School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Extended Project (Diploma),Study Skills,31,0,6,6,4,5,1,9
Barking and Dagenham,101245,Robert Clack School,Community School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,Extended Project (Diploma),Study Skills,26,4,11,3,3,2,2,1
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101362,Finchley Catholic High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,6,0,2,2,1,0,1,0
Barnet,101367,Mill Hill School Foundation,Independent School,Extended Project (Diploma),Study Skills,6,1,3,1,0,1,0,0
Barnet,101369,The King Alfred School,Independent School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101374,St Martha's Senior School,Independent School,Extended Project (Diploma),Study Skills,7,0,0,2,2,3,0,0
Brent,101563,St Gregory RC High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,101676,St Olave's and St Saviour's Grammar School,Voluntary Aided School,Extended Project (Diploma),Study Skills,33,21,9,3,0,0,0,0
Bromley,101685,Farringtons School,Independent School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bromley,101692,Bromley High School,Independent School,Extended Project (Diploma),Study Skills,15,3,10,0,1,0,0,1
Croydon,101811,Archbishop Tenison's CofE High School,Voluntary Aided School,Extended Project (Diploma),Study Skills,19,1,3,5,5,2,3,0
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Extended Project (Diploma),Study Skills,14,0,5,5,1,3,0,0
Croydon,101823,Coloma Convent Girls' School,Voluntary Aided School,Extended Project (Diploma),Study Skills,14,4,3,3,4,0,0,0
Croydon,101837,Whitgift School,Independent School,Extended Project (Diploma),Study Skills,11,3,5,2,1,0,0,0
Croydon,101842,Trinity School,Independent School,Extended Project (Diploma),Study Skills,23,2,13,7,1,0,0,0
Croydon,101845,Croydon High School,Independent School,Extended Project (Diploma),Study Skills,10,0,8,2,0,0,0,0
Croydon,101846,Old Palace of John Whitgift School,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101930,Dormers Wells High School,Community School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101932,Acton High School,Community School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101934,The Cardinal Wiseman Catholic School,Voluntary Aided School,Extended Project (Diploma),Study Skills,25,0,1,9,6,5,2,2
Ealing,101939,Brentside High School,Foundation School,Extended Project (Diploma),Study Skills,68,2,11,18,16,15,5,1
Ealing,101940,Greenford High School,Foundation School,Extended Project (Diploma),Study Skills,16,0,1,5,3,3,0,4
Ealing,101941,The Ellen Wilkinson School for Girls,Foundation School,Extended Project (Diploma),Study Skills,29,2,3,6,4,6,7,1
Ealing,101946,St Augustine's Priory,Independent School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101947,St Benedict's School,Independent School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101954,Notting Hill and Ealing High School,Independent School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
