"Number of students passing an OCR Cambridge national diploma or certificate by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number passed,Distinction,Merit,Pass
Islington,100455,Highbury Fields School,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Islington,100459,St Aloysius RC College,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,1,1,5
Islington,100459,St Aloysius RC College,Voluntary Aided School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Southwark,100849,St Saviour's and St Olave's Church of England School,Voluntary Aided School,OCR National Certificate at Level 3,Learning theory,10,6,1,3
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Barking and Dagenham,101246,The Sydney Russell School,Community School,OCR National Extended Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Redbridge,102854,Woodbridge High School,Community School,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Redbridge,102854,Woodbridge High School,Community School,OCR National Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
Birmingham,103493,Bordesley Green Girls' School & Sixth Form,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,8,6,2,0
Birmingham,103541,Archbishop Ilsley Catholic School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,15,6,8,1
Solihull,104118,Smith's Wood Sports College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,OCR National Certificate at Level 3,Public Services,2,Supp,Supp,Supp
Walsall,104259,"St Thomas More Catholic School, Willenhall",Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Wolverhampton,104390,Coppice Performing Arts School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,11,3,3,5
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,OCR National Certificate at Level 3,Film / Video / Television Production,5,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
St. Helens,104830,Rainhill High School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
St. Helens,104830,Rainhill High School,Foundation School,OCR National Certificate at Level 3,Learning theory,3,Supp,Supp,Supp
St. Helens,104830,Rainhill High School,Foundation School,OCR National Diploma at Level 3,Learning theory,7,6,1,0
Sefton,104962,Holy Family Catholic High School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,13,2,9,2
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Doncaster,106810,The McAuley Catholic High School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,15,11,4,0
Rotherham,106954,Wath Comprehensive School : A Language College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,19,15,4,0
Rotherham,106954,Wath Comprehensive School : A Language College,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Sheffield,107140,King Edward VII School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Bradford,107440,Hanson School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Bradford,107442,Thornton Grammar School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,1,3,2
Calderdale,107563,Sowerby Bridge High School,Community School,OCR National Certificate at Level 3,Business Studies,3,Supp,Supp,Supp
Calderdale,107563,Sowerby Bridge High School,Community School,OCR National Diploma at Level 3,Business Studies,25,12,10,3
Calderdale,107563,Sowerby Bridge High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,27,23,4,0
Calderdale,107563,Sowerby Bridge High School,Community School,OCR National Diploma at Level 3,Learning theory,12,5,6,1
Calderdale,107563,Sowerby Bridge High School,Community School,OCR National Extended Diploma at Level 3,Learning theory,6,4,2,0
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,25,25,0,0
Leeds,108057,Allerton High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,12,10,2,0
Leeds,108079,Pudsey Grangefield School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Leeds,108083,Benton Park School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,4,6,0
Leeds,108090,Brigshaw High School and Language College,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,22,12,10,0
Newcastle upon Tyne,108526,Benfield School,Community School,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Newcastle upon Tyne,108526,Benfield School,Community School,OCR National Certificate at Level 3,Learning theory,6,4,0,2
Newcastle upon Tyne,108526,Benfield School,Community School,OCR National Diploma at Level 3,Learning theory,8,6,1,1
Newcastle upon Tyne,108542,Westfield School,Independent School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR National Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
South Gloucestershire,109318,Hanham High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,14,10,4,0
South Gloucestershire,109320,Mangotsfield School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
South Gloucestershire,109322,The Grange School and Sports College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
West Berkshire,110050,John O'Gaunt School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,4,2,0
Buckinghamshire,110490,The Misbourne School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,35,17,14,4
Milton Keynes,110532,The Radcliffe School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Buckinghamshire,110533,The Cottesloe School,Foundation School,OCR National Certificate at Level 3,Business Studies,20,14,5,1
Buckinghamshire,110533,The Cottesloe School,Foundation School,OCR National Certificate at Level 3,Tourism,9,8,1,0
Cheshire West and Chester,111397,Queen's Park High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Cornwall,112045,Budehaven Community School,Foundation School,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Cornwall,112054,Redruth School,Foundation School,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Cornwall,112054,Redruth School,Foundation School,OCR National Diploma at Level 3,Sports Studies,7,4,3,0
