"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Greenwich,100183,Plumstead Manor School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,15,4,2,1,8
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,8,0,0,4,4
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,12,2,1,4,5
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,11,10,0,1,0
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,0,8,1,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Health Studies,77,28,11,38,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,21,9,4,8,0
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,12,0,0,4,8
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,11,0,4,7,0
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,7,1,5,4
Barnet,101364,St James' Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,6,3,3,0
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,11,5,2,4,0
Enfield,102045,Winchmore School,Community School,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Enfield,102047,Southgate School,Community School,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Enfield,102047,Southgate School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp,Supp
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,3,2,4,3
Haringey,102154,Highgate Wood Secondary School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Merton,102674,Raynes Park High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Merton,102681,Wimbledon College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Merton,102681,Wimbledon College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Merton,102683,Ursuline High School Wimbledon,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,12,6,3,3,0
Merton,102683,Ursuline High School Wimbledon,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,8,1,3,0
Redbridge,102854,Woodbridge High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Redbridge,102854,Woodbridge High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp
Waltham Forest,103106,Holy Family Catholic School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,16,10,4,2,0
