"Number of students passing a double award OCR Cambridge technical diploma or technical subsidiary diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Double Star,Star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double Pass
Lambeth,100625,Lilian Baylis Technology School,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,8,0,2,2,0,0,3,1
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Diploma at Level 3,Business Studies,16,3,1,3,0,1,4,4
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,24,1,2,2,1,6,6,6
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Health Studies,9,0,2,5,2,0,0,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,19,1,3,2,4,8,1,0
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,8,0,2,2,1,2,1,0
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101364,St James' Catholic High School,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Business Studies,9,0,1,5,1,0,1,1
Brent,101558,Copland Community School,Foundation School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102047,Southgate School,Community School,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
