"Number of students passing a triple award OCR Cambridge technical extended diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Triple Star,Double Star Distinction,Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Islington,100452,Highbury Grove School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,7,0,0,0,1,3,2,1,0,0,0
Islington,100455,Highbury Fields School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,9,2,0,0,0,1,1,5,0,0,0
Islington,100459,St Aloysius RC College,Voluntary Aided School,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,22,1,7,5,5,4,0,0,0,0,0
Barking and Dagenham,101246,The Sydney Russell School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,11,5,1,0,0,1,2,0,2,0,0
Barking and Dagenham,101246,The Sydney Russell School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Film / Video / Television Production,7,6,1,0,0,0,0,0,0,0,0
Hillingdon,102449,Abbotsfield School,Foundation School,OCR Cambridge Technical Extended Diploma at Level 3,Film / Video / Television Production,6,0,0,0,0,2,0,1,2,0,1
Newcastle upon Tyne,108524,Walbottle Campus,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118796,Holmesdale Technology College,Foundation School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,122356,Queen Elizabeth High School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124818,Stowmarket High School,Community School,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,9,4,2,2,0,0,1,0,0,0,0
Wirral,130493,Wirral Metropolitan College,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,7,3,0,0,0,0,1,0,1,1,1
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,OCR Cambridge Technical Extended Diploma at Level 3,Art & Design,10,0,0,0,0,5,1,1,0,2,1
York,130594,York College,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,9,2,0,0,0,2,0,1,1,2,1
Plymouth,130649,City College Plymouth,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Film / Video / Television Production,21,2,4,3,4,3,1,2,2,0,0
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Extended Diploma at Level 3,Film / Video / Television Production,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Extended Diploma at Level 3,Sports Studies,32,15,9,2,3,2,1,0,0,0,0
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,OCR Cambridge Technical Extended Diploma at Level 3,Sports Studies,12,1,1,3,1,2,1,1,0,2,0
Leicestershire,130750,South Leicestershire College,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Film / Video / Television Production,7,0,0,0,0,1,1,1,3,0,1
Norfolk,130763,The College of West Anglia,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,48,9,4,9,4,3,5,2,2,3,7
Nottinghamshire,130779,North Nottinghamshire College,General Further Education College,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,6,0,0,0,0,0,0,0,0,3,3
Sheffield,131895,Sheffield Park Academy,Sponsored Academy,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,135315,Walworth Academy,Sponsored Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,136533,Newquay Tretherras,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Sports Studies,16,2,0,1,4,3,0,2,1,2,1
Gloucestershire,136772,Cleeve School,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,11,7,0,2,1,0,1,0,0,0,0
Reading,136876,Prospect School,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,136962,Feversham College,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,19,3,2,3,2,2,1,2,1,1,2
Staffordshire,137100,Fair Oak Academy,Sponsored Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137282,University Academy Holbeach,Sponsored Academy,OCR Cambridge Technical Extended Diploma at Level 3,Art & Design,6,0,0,0,0,1,1,1,0,1,2
Bath and North East Somerset,137523,Wellsway School,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137779,Ely College,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,138046,Greenacre School,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,138214,The Duston School,Converter Academy,OCR Cambridge Technical Extended Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
