"Number of students passing a BTEC national award by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass
Enfield,102056,Broomfield School,Foundation School,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
Birmingham,103522,John Willmott School,Community School,BTEC National Award,Childcare Skills,5,Supp,Supp,Supp
Coventry,103733,Lyng Hall School,Foundation School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Wolverhampton,104387,"Deansfield Community School, Specialists In Media Arts",Community School,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Wolverhampton,104390,Coppice Performing Arts School,Community School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,BTEC National Award,Childcare Skills,8,7,1,0
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,BTEC National Award,Childcare Skills,8,8,0,0
St. Helens,104829,Cowley International College,Community School,BTEC National Award,Childcare Skills,13,10,3,0
Bolton,105264,Thornleigh Salesian College,Voluntary Aided School,BTEC National Award,Childcare Skills,13,8,5,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Bradford,107439,Bingley Grammar School,Voluntary Aided School,BTEC National Award,Childcare Skills,7,6,1,0
Bradford,107440,Hanson School,Foundation School,BTEC National Award,Childcare Skills,10,3,2,5
Leeds,108075,Ralph Thoresby School,Foundation School,BTEC National Award,Childcare Skills,8,6,2,0
South Gloucestershire,109319,Brimsham Green School,Community School,BTEC National Award,Childcare Skills,7,5,2,0
South Gloucestershire,109324,Chipping Sodbury School,Foundation School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Wokingham,110062,The Bulmershe School,Community School,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Devon,113497,The Axe Valley Community College,Community School,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
Hertfordshire,117512,Adeyfield School,Community School,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Hertfordshire,117531,Turnford School,Community School,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
Kent,118904,St Simon Stock Catholic School,Voluntary Aided School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Lancashire,119761,Morecambe Community High School,Community School,BTEC National Award,Childcare Skills,8,5,3,0
Lancashire,119798,Our Lady's Catholic College,Voluntary Aided School,BTEC National Award,Childcare Skills,15,15,0,0
Somerset,123862,Frome Community College,Community School,BTEC National Award,Childcare Skills,11,8,1,2
West Sussex,126071,Ifield Community College,Community School,BTEC National Award,Childcare Skills,7,4,1,2
Solihull,130481,Solihull College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Salford,130509,Salford City College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,BTEC National Award,Childcare Skills,26,23,3,0
Bath and North East Somerset,130558,City of Bath College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
North Somerset,130564,Weston College,General Further Education College,BTEC National Award,Childcare Skills,6,1,1,4
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
East Riding of Yorkshire,130582,East Riding College,General Further Education College,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
York,130594,York College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Milton Keynes,130609,Milton Keynes College,General Further Education College,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Cumbria,130631,Kendal College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Plymouth,130649,City College Plymouth,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Award,Childcare Skills,11,7,2,2
Essex,130674,Colchester Institute,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,BTEC National Award,Childcare Skills,9,1,0,8
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,BTEC National Award,Childcare Skills,7,7,0,0
Hertfordshire,130721,North Hertfordshire College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Lancashire,130735,Burnley College,General Further Education College,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Lancashire,130740,Preston College,Tertiary College,BTEC National Award,Childcare Skills,13,2,2,9
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Leicester,130757,Regent College,Sixth Form Centre / Consortia,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Northamptonshire,130771,Tresham College of Further and Higher Education,General Further Education College,BTEC National Award,Childcare Skills,10,6,3,1
Nottingham,130776,New College Nottingham,General Further Education College,BTEC National Award,Airport Management / Ground Services,3,Supp,Supp,Supp
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,BTEC National Award,Childcare Skills,22,4,3,15
Staffordshire,130813,Stafford College,General Further Education College,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC National Award,Childcare Skills,9,1,1,7
Sunderland,131347,City of Sunderland College,General Further Education College,BTEC National Award,Childcare Skills,76,52,8,16
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,BTEC National Award,Childcare Skills,9,1,1,7
Bradford,132219,Immanuel College,Voluntary Aided School,BTEC National Award,Childcare Skills,11,10,1,0
Newcastle upon Tyne,133302,All Saints College,Foundation School,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Bexley,133769,The Business Academy Bexley,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Southwark,134222,City of London Academy (Southwark),Sponsored Academy,BTEC National Award,Childcare Skills,11,0,0,11
Nottingham,134253,Djanogly City Academy,Sponsored Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Sandwell,135170,Shireland Collegiate Academy,Sponsored Academy,BTEC National Award,Childcare Skills,12,2,6,4
Sandwell,135234,George Salter Academy,Sponsored Academy,BTEC National Award,Childcare Skills,5,Supp,Supp,Supp
