"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Birmingham,103513,Cockshut Hill Technology College,Community School,BTEC Award Level 3,Preparation for Work,11,11,0
Coventry,103733,Lyng Hall School,Foundation School,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Walsall,104259,"St Thomas More Catholic School, Willenhall",Voluntary Aided School,BTEC Award Level 3,Childcare Skills,11,6,1
St. Helens,104829,Cowley International College,Community School,BTEC Award Level 3,Computer Appreciation / Introduction,1,Supp,Supp
Wirral,105107,South Wirral High School,Foundation School,BTEC Award Level 3,Childcare Skills,12,1,7
Calderdale,107563,Sowerby Bridge High School,Community School,BTEC Award Level 3,Childcare Skills,14,3,4
Leeds,108091,Boston Spa School,Foundation School,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Gateshead,108405,Charles Thorp Comprehensive School,Community School,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
North Somerset,109317,St Katherine's School,Community School,BTEC Award Level 3,Preparation for Work,16,16,0
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,BTEC Award Level 3,Fine Art,1,Supp,Supp
Wokingham,110070,Waingels College,Community School,BTEC Award Level 3,Preparation for Work,4,Supp,Supp
Buckinghamshire,110500,Cressex Community School,Foundation School,BTEC Award Level 3,Preparation for Work,3,Supp,Supp
Peterborough,110882,Ken Stimpson Community School,Community School,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
Cheshire East,111436,Poynton High School,Community School,BTEC Award Level 3,Preparation for Work,4,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,BTEC Award Level 3,Childcare Skills,6,3,2
Cumbria,112379,The Lakes School,Community School,BTEC Award Level 3,Photography,1,Supp,Supp
Derby,112992,Noel-Baker School,Foundation School,BTEC Award Level 3,Childcare Skills,6,1,0
Torbay,113526,Westlands School,Foundation School,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Dorset,113901,The Woodroffe School,Foundation School,BTEC Award Level 3,Preparation for Work,3,Supp,Supp
Hertfordshire,117525,Sir Frederic Osborn School,Community School,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
Kent,118785,Dartford Science & Technology College,Community School,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Kent,118788,Northfleet School for Girls,Foundation School,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Kent,118924,Chaucer Technology School,Foundation School,BTEC Award Level 3,Childcare Skills,5,Supp,Supp
Lancashire,119711,Heysham High School Sports College,Community School,BTEC Award Level 3,Childcare Skills,4,Supp,Supp
Lancashire,119761,Morecambe Community High School,Community School,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Leicestershire,120261,Longslade Community College,Community School,BTEC Award Level 3,Preparation for Work,6,6,0
Norfolk,121180,Thorpe St Andrew School and Sixth Form,Community School,BTEC Award Level 3,Childcare Skills,6,0,0
Northumberland,122362,The Duchess's Community High School,Community School,BTEC Award Level 3,Childcare Skills,20,4,6
Shropshire,123602,Adcote School for Girls,Independent School,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Shropshire,123620,Shrewsbury High School,Independent School,BTEC Award Level 3,Computer Appreciation / Introduction,25,25,0
Staffordshire,124403,Clough Hall Technology School,Community School,BTEC Award Level 3,Preparation for Work,9,9,0
West Sussex,126071,Ifield Community College,Community School,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,BTEC Award Level 3,Preparation for Work,3,Supp,Supp
Redbridge,130453,Redbridge College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Waltham Forest,130457,Leyton Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Fashion / Textiles Design,2,Supp,Supp
Waltham Forest,130457,Leyton Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Interactive Video,9,9,0
Waltham Forest,130457,Leyton Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Preparation for Work,9,9,0
Birmingham,130459,Bournville College of Further Education,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,BTEC Award Level 3,Management Studies / Science,6,6,0
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,BTEC Award Level 3,Personal Fitness,8,8,0
Sandwell,130479,Sandwell College,General Further Education College,BTEC Award Level 3,Medical Support Services,22,22,0
Solihull,130481,Solihull College,General Further Education College,BTEC Award Level 3,Management Studies / Science,1,Supp,Supp
Walsall,130483,Walsall College,General Further Education College,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Walsall,130483,Walsall College,General Further Education College,BTEC Award Level 3,Fine Art,28,28,0
Walsall,130483,Walsall College,General Further Education College,BTEC Award Level 3,Personal Fitness,1,Supp,Supp
Walsall,130483,Walsall College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Wolverhampton,130484,City of Wolverhampton College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,BTEC Award Level 3,Customer Care,1,Supp,Supp
Bolton,130495,Bolton College,General Further Education College,BTEC Award Level 3,Preparation for Work,28,28,0
Bury,130498,Bury College,Tertiary College,BTEC Award Level 3,Fine Art,12,12,0
Stockport,130514,Aquinas College,Further Education Sector Institution,BTEC Award Level 3,Preparation for Work,8,8,0
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Childcare Skills,2,Supp,Supp
Trafford,130519,Trafford College,General Further Education College,BTEC Award Level 3,Preparation for Work,9,9,0
Barnsley,130524,Barnsley College,Tertiary College,BTEC Award Level 3,Preparation for Work,176,176,0
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,BTEC Award Level 3,Design (General),1,Supp,Supp
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,BTEC Award Level 3,Preparation for Work,2,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,BTEC Award Level 3,Preparation for Work,3,Supp,Supp
Wakefield,130549,Wakefield College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,BTEC Award Level 3,Preparation for Work,52,52,0
South Tyneside,130555,South Tyneside College,Tertiary College,BTEC Award Level 3,Childcare Skills,3,Supp,Supp
South Tyneside,130555,South Tyneside College,Tertiary College,BTEC Award Level 3,Youth Work,1,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,BTEC Award Level 3,Preparation for Work,11,11,0
Middlesbrough,130570,Middlesbrough College,Tertiary College,BTEC Award Level 3,Personal Fitness,20,20,0
"Kingston upon Hull, City of",130579,Hull College,General Further Education College,BTEC Award Level 3,Computer Appreciation / Introduction,1,Supp,Supp
East Riding of Yorkshire,130584,Bishop Burton College,Agriculture and Horticulture College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,BTEC Award Level 3,Preparation for Work,7,7,0
North Lincolnshire,130587,North Lindsey College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
North Lincolnshire,130588,John Leggott Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Preparation for Work,6,6,0
North Yorkshire,130591,Craven College,General Further Education College,BTEC Award Level 3,Art: Specific Techniques,10,10,0
North Yorkshire,130591,Craven College,General Further Education College,BTEC Award Level 3,Graphic Design,22,22,0
York,130594,York College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Central Bedfordshire,130598,Central Bedfordshire College,General Further Education College,BTEC Award Level 3,Fine Art,10,10,0
Slough,130604,East Berkshire College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Cambridgeshire,130612,Huntingdonshire Regional College,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Peterborough,130613,Peterborough Regional College,General Further Education College,BTEC Award Level 3,Photography,1,Supp,Supp
Warrington,130617,Warrington Collegiate,General Further Education College,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,BTEC Award Level 3,Art: Specific Techniques,31,31,0
