"Number of students passing a BTEC national certificate by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Birmingham,103493,Bordesley Green Girls' School & Sixth Form,Community School,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110150,Hurst Lodge School,Independent School,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Derbyshire,112943,Eckington School,Community School,BTEC National Certificate,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117512,Adeyfield School,Community School,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Lancashire,119740,Lytham St Annes Technology and Performing Arts College,Foundation School,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,130558,City of Bath College,General Further Education College,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Middlesbrough,130570,Middlesbrough College,Tertiary College,BTEC National Certificate,Airport Management / Ground Services,16,2,0,1,2,11
Middlesbrough,130570,Middlesbrough College,Tertiary College,BTEC National Certificate,Childcare Skills,19,3,0,2,4,10
East Riding of Yorkshire,130582,East Riding College,General Further Education College,BTEC National Certificate,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp
North Yorkshire,130591,Craven College,General Further Education College,BTEC National Certificate,Childcare Skills,12,4,5,1,1,1
Warrington,130617,Warrington Collegiate,General Further Education College,BTEC National Certificate,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp
Cornwall,130627,Cornwall College,General Further Education College,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Devon,130646,Petroc,Tertiary College,BTEC National Certificate,Childcare Skills,11,4,6,1,0,0
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,BTEC National Certificate,Childcare Skills,7,1,0,1,4,1
Hertfordshire,130720,West Herts College,General Further Education College,BTEC National Certificate,Airport Management / Ground Services,15,8,2,2,0,3
Blackpool,130739,Blackpool and the Fylde College,General Further Education College,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Lancashire,130741,Runshaw College,Tertiary College,BTEC National Certificate,Childcare Skills,22,21,1,0,0,0
Lincolnshire,130759,Grantham College,General Further Education College,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Nottingham,130776,New College Nottingham,General Further Education College,BTEC National Certificate,Airport Management / Ground Services,13,1,0,0,3,9
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC National Certificate,Childcare Skills,19,6,2,2,3,6
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,BTEC National Certificate,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp
Bexley,133769,The Business Academy Bexley,Sponsored Academy,BTEC National Certificate,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,BTEC National Certificate,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp
Solihull,135684,CTC Kingshurst Academy,Sponsored Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
"Kingston upon Hull, City of",135945,Sirius Academy,Sponsored Academy,BTEC National Certificate,Childcare Skills,8,5,1,2,0,0
Medway,135964,Strood Academy,Sponsored Academy,BTEC National Certificate,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp
Wolverhampton,135983,South Wolverhampton and Bilston Academy,Sponsored Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Leeds,136343,Garforth Academy,Converter Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Solihull,136347,John Henry Newman Catholic College,Sponsored Academy,BTEC National Certificate,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Wandsworth,136883,Chestnut Grove School,Converter Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137447,Lincoln Christ's Hospital School,Converter Academy,BTEC National Certificate,Childcare Skills,8,0,3,4,0,1
Sunderland,138054,St Anthony's Girls' Catholic Academy,Converter Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Leicestershire,138344,John Cleveland College,Converter Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Derby,139051,Merrill Academy,Sponsored Academy,BTEC National Certificate,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp
Birmingham,139888,Washwood Heath Academy,Converter Academy,BTEC National Certificate,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
