Number of students passing a BTEC certificate by institution subject and grade achieved,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass,,
Camden,100051,Regent High School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,7,2,3,0,2,,
Camden,100051,Regent High School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Camden,100051,Regent High School,Community School,BTEC Certificate Level 3,Tourism,1,Supp,Supp,Supp,Supp,,
Camden,100052,Hampstead School,Community School,BTEC Certificate Level 3,Law / Legal Studies,1,Supp,Supp,Supp,Supp,,
Camden,100053,Acland Burghley School,Community School,BTEC Certificate Level 3,Multimedia,14,0,1,4,9,,
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,18,10,1,7,0,,
Camden,100076,South Hampstead High School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Greenwich,100183,Plumstead Manor School,Community School,BTEC Certificate Level 3,Music Studies (General),2,Supp,Supp,Supp,Supp,,
Greenwich,100183,Plumstead Manor School,Community School,BTEC Certificate Level 3,Stage Management,6,1,1,3,1,,
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,23,13,7,3,0,,
Greenwich,100190,Thomas Tallis School,Community School,BTEC Certificate Level 3,Applied Sciences,2,Supp,Supp,Supp,Supp,,
Greenwich,100190,Thomas Tallis School,Community School,BTEC Certificate Level 3,Multimedia,3,Supp,Supp,Supp,Supp,,
Greenwich,100192,The John Roan School,Voluntary Controlled School,BTEC Certificate Level 3,Applied Sciences,3,Supp,Supp,Supp,Supp,,
Greenwich,100192,The John Roan School,Voluntary Controlled School,BTEC Certificate Level 3,Fashion / Textiles Design,1,Supp,Supp,Supp,Supp,,
Greenwich,100192,The John Roan School,Voluntary Controlled School,BTEC Certificate Level 3,Photography,1,Supp,Supp,Supp,Supp,,
Kensington and Chelsea,100506,The Cardinal Vaughan Memorial RC School,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Kensington and Chelsea,100547,Lycee Francais Charles de Gaulle,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Lambeth,100624,Norwood School,Community School,BTEC Certificate Level 3,Applied Sciences,3,Supp,Supp,Supp,Supp,,
Lambeth,100624,Norwood School,Community School,BTEC Certificate Level 3,Health Studies,1,Supp,Supp,Supp,Supp,,
Lambeth,100625,Lilian Baylis Technology School,Community School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Lambeth,100625,Lilian Baylis Technology School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,2,Supp,Supp,Supp,Supp,,
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,2,Supp,Supp,Supp,Supp,,
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,6,0,0,2,4,,
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Lambeth,100642,London Nautical School,Foundation School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Lewisham,100743,Sedgehill School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,15,7,0,7,1,,
Lewisham,100743,Sedgehill School,Community School,BTEC Certificate Level 3,Music Studies (General),1,Supp,Supp,Supp,Supp,,
