"Number of students passing a BTEC national diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Birmingham,103493,Bordesley Green Girls' School & Sixth Form,Community School,BTEC National Diploma,Childcare Skills,10,8,0,0,1,1,0,0
St. Helens,104829,Cowley International College,Community School,BTEC National Diploma,Childcare Skills,6,5,0,1,0,0,0,0
Wigan,106534,The Deanery Church of England High School and Sixth Form College,Voluntary Aided School,BTEC National Diploma,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110500,Cressex Community School,Foundation School,BTEC National Diploma,Childcare Skills,10,3,1,2,1,2,0,1
Cumbria,112394,Southfield Technology College,Community School,BTEC National Diploma,Childcare Skills,6,5,1,0,0,0,0,0
Cumbria,112395,Stainburn School and Science College,Community School,BTEC National Diploma,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,BTEC National Diploma,Childcare Skills,8,3,4,1,0,0,0,0
Norfolk,121180,Thorpe St Andrew School and Sixth Form,Community School,BTEC National Diploma,Childcare Skills,6,3,2,1,0,0,0,0
Greenwich,130405,Greenwich Community College at Plumstead Centre,General Further Education College,BTEC National Diploma,Childcare Skills,6,0,0,1,0,0,0,5
Croydon,130434,John Ruskin College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,13,4,3,2,1,1,1,1
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hounslow,130447,West Thames College,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,10,5,2,3,0,0,0,0
Birmingham,130459,Bournville College of Further Education,General Further Education College,BTEC National Diploma,Childcare Skills,23,10,2,2,0,4,2,3
Birmingham,130461,South and City College Birmingham,General Further Education College,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,BTEC National Diploma,Childcare Skills,26,12,2,3,2,4,1,2
Birmingham,130468,Joseph Chamberlain Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,24,13,4,3,2,1,1,0
Dudley,130476,Halesowen College,Tertiary College,BTEC National Diploma,Childcare Skills,31,20,4,1,1,2,0,3
Solihull,130481,Solihull College,General Further Education College,BTEC National Diploma,Childcare Skills,41,17,5,3,3,4,2,7
Wolverhampton,130484,City of Wolverhampton College,General Further Education College,BTEC National Diploma,Childcare Skills,12,3,1,2,1,1,1,3
Sefton,130490,Hugh Baird College,Tertiary College,BTEC National Diploma,Childcare Skills,22,12,4,1,0,0,3,2
Rochdale,130507,Hopwood Hall College,Tertiary College,BTEC National Diploma,Childcare Skills,22,4,0,4,4,1,3,6
Salford,130509,Salford City College,General Further Education College,BTEC National Diploma,Childcare Skills,36,17,5,6,1,2,1,4
Stockport,130512,Stockport College,General Further Education College,BTEC National Diploma,Childcare Skills,20,6,5,4,2,1,0,2
Tameside,130518,Ashton Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,45,39,0,1,3,1,0,1
Trafford,130519,Trafford College,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,6,5,0,1,0,0,0,0
Wigan,130521,Wigan and Leigh College,General Further Education College,BTEC National Diploma,Childcare Skills,12,11,0,1,0,0,0,0
Wigan,130523,St John Rigby RC Sixth Form College,Further Education Sector Institution,BTEC National Diploma,Childcare Skills,12,10,2,0,0,0,0,0
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,BTEC National Diploma,Childcare Skills,22,7,0,1,1,0,5,8
Bradford,130532,Bradford College,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,130534,Shipley College,General Further Education College,BTEC National Diploma,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,50,41,4,2,3,0,0,0
Wakefield,130549,Wakefield College,General Further Education College,BTEC National Diploma,Childcare Skills,30,11,5,3,1,1,3,6
Newcastle upon Tyne,130552,NCG,General Further Education College,BTEC National Diploma,Childcare Skills,7,1,2,1,1,0,0,2
Bath and North East Somerset,130558,City of Bath College,General Further Education College,BTEC National Diploma,Childcare Skills,26,5,2,0,3,2,5,9
North Somerset,130564,Weston College,General Further Education College,BTEC National Diploma,Childcare Skills,44,16,4,2,9,3,5,5
Middlesbrough,130570,Middlesbrough College,Tertiary College,BTEC National Diploma,Childcare Skills,34,17,1,1,3,4,3,5
Middlesbrough,130571,Cleveland College of Art and Design,"Art, Design and Performing Art College",BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,BTEC National Diploma,Childcare Skills,18,5,2,0,0,2,1,8
Stockton-on-Tees,130576,Stockton Riverside College,General Further Education College,BTEC National Diploma,Childcare Skills,7,2,0,2,0,0,0,3
East Riding of Yorkshire,130582,East Riding College,General Further Education College,BTEC National Diploma,Childcare Skills,17,8,2,1,2,0,0,4
North Yorkshire,130591,Craven College,General Further Education College,BTEC National Diploma,Childcare Skills,9,9,0,0,0,0,0,0
North Yorkshire,130592,Selby College,Tertiary College,BTEC National Diploma,Childcare Skills,16,10,2,0,0,0,1,3
York,130594,York College,General Further Education College,BTEC National Diploma,Childcare Skills,16,6,4,1,3,2,0,0
York,130595,Askham Bryan College,Agriculture and Horticulture College,BTEC National Diploma,Childcare Skills,10,0,1,1,2,2,0,4
Milton Keynes,130609,Milton Keynes College,General Further Education College,BTEC National Diploma,Childcare Skills,9,4,1,0,1,0,0,3
Peterborough,130613,Peterborough Regional College,General Further Education College,BTEC National Diploma,Childcare Skills,12,5,0,1,1,1,0,4
Warrington,130617,Warrington Collegiate,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,10,1,3,0,2,0,2,2
Warrington,130617,Warrington Collegiate,General Further Education College,BTEC National Diploma,Childcare Skills,7,6,0,0,0,0,0,1
Cheshire West and Chester,130618,West Cheshire College,General Further Education College,BTEC National Diploma,Childcare Skills,18,7,4,0,2,3,2,0
Cheshire West and Chester,130620,Mid-Cheshire College of Further Education,General Further Education College,BTEC National Diploma,Childcare Skills,24,1,1,3,3,2,8,6
Cheshire East,130621,Macclesfield College,General Further Education College,BTEC National Diploma,Childcare Skills,14,9,0,0,0,1,1,3
Halton,130622,Riverside College Halton,General Further Education College,BTEC National Diploma,Childcare Skills,31,20,5,4,1,1,0,0
Cornwall,130627,Cornwall College,General Further Education College,BTEC National Diploma,Childcare Skills,21,7,1,6,4,0,1,2
Cumbria,130631,Kendal College,General Further Education College,BTEC National Diploma,Childcare Skills,21,9,3,2,3,0,2,2
Cumbria,130632,Lakes College - West Cumbria,General Further Education College,BTEC National Diploma,Childcare Skills,9,5,1,2,1,0,0,0
Derbyshire,130638,Chesterfield College,General Further Education College,BTEC National Diploma,Automotive Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,BTEC National Diploma,Childcare Skills,39,10,0,2,2,4,6,15
Devon,130646,Petroc,Tertiary College,BTEC National Diploma,Childcare Skills,33,23,1,1,2,1,1,4
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,25,14,1,2,0,1,4,3
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,19,6,1,6,2,1,2,1
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Diploma,Childcare Skills,53,33,5,3,6,1,0,5
Essex,130674,Colchester Institute,General Further Education College,BTEC National Diploma,Childcare Skills,43,3,3,6,5,5,5,16
Essex,130676,Harlow College,Tertiary College,BTEC National Diploma,Childcare Skills,30,10,1,4,4,2,3,6
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,27,20,1,2,1,1,0,2
Hampshire,130690,Brockenhurst College,Tertiary College,BTEC National Diploma,Childcare Skills,18,4,1,3,1,2,1,6
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,6,6,0,0,0,0,0,0
