"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Triple Distinction Star,Double Distinction Star Distinction,Distinction Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Extended Diploma,Acting: Music Theatre,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,6,0,0,0,0,2,1,1,0,0,2
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,14,3,0,2,3,1,0,0,1,1,3
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Extended Diploma,Public Services,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,100277,Haggerston School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,6,5,1,0,0,0,0,0,0,0,0
Hackney,100277,Haggerston School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,13,5,2,1,0,1,0,2,0,1,1
Hackney,100279,Stoke Newington School and Sixth Form,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,10,4,0,2,0,1,1,1,0,1,0
Hackney,100282,Our Lady's Convent Roman Catholic High School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
