"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered,Pass
Lewisham,110532,The Radcliffe School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Westminster,130466,Birmingham Metropolitan College,General Further Education College,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Barking and Dagenham,130504,Xaverian College,Further Education Sector Institution,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Birmingham,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Birmingham,130609,Milton Keynes College,General Further Education College,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Sandwell,130620,Mid-Cheshire College of Further Education,General Further Education College,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Sheffield,133585,Derby College,Tertiary College,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Kirklees,135503,Forge Valley Community School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
Kirklees,137287,Slough and Eton CofE Business and Enterprise College,Academy,Pearson BTEC Level 3 Extended Diploma,Systems / Network Management,1,SUPP
