Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
201,City of London,2016005,100001,City of London School for Girls,Independent,,GIRLS,73
201,City of London,2016007,100003,City of London School,Independent,,BOYS,140
202,Camden,2024104,100049,Haverstock School,Community school,COMP,MIXED,58
202,Camden,2024166,100050,Parliament Hill School,Community school,COMP,GIRLS,136
202,Camden,2024196,100051,Regent High School,Community school,COMP,MIXED,69
202,Camden,2024275,100052,Hampstead School,Community school,COMP,MIXED,92
202,Camden,2024285,100053,Acland Burghley School,Community school,COMP,MIXED,123
202,Camden,2024611,100054,The Camden School for Girls,Voluntary aided school,COMP,MIXED,199
202,Camden,2024652,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary aided school,COMP,MIXED,50
202,Camden,2024688,100056,William Ellis School,Voluntary aided school,COMP,BOYS,73
202,Camden,2025401,100059,La Sainte Union Catholic Secondary School,Voluntary aided school,COMP,MIXED,141
202,Camden,2026018,100065,University College School,Independent,,MIXED,152
202,Camden,2026307,100076,South Hampstead High School,Independent,,GIRLS,67
202,Camden,2026387,100084,Fine Arts College,Independent,,MIXED,54
202,Camden,2028018,130403,The Working Men's College,Specialist Designated College,NA,MIXED,2
202,Camden,2028045,130421,Westminster Kingsway College,General Further Education College,NA,MIXED,830
202,Camden,2024952,132838,La Swap Sixth Form,,,,473
202,Camden,2024000,137181,The UCL Academy,Academy sponsor led,COMP,MIXED,43
202,Camden,2026000,137333,CATS College London,Independent,,MIXED,57
202,Camden,2026001,137889,The Abbey College In London,Independent,,MIXED,5
203,Greenwich,2034077,100182,Eltham Hill School,Community school,COMP,MIXED,0
203,Greenwich,2034130,100183,Plumstead Manor School,Community school,COMP,MIXED,84
203,Greenwich,2034250,100187,Woolwich Polytechnic School for Boys,Community school,COMP,MIXED,109
203,Greenwich,2034271,100189,Crown Woods College,Community school,COMP,MIXED,115
203,Greenwich,2034294,100190,Thomas Tallis School,Community school,COMP,MIXED,182
203,Greenwich,2034508,100192,The John Roan School,Voluntary controlled school,COMP,MIXED,42
203,Greenwich,2036169,100200,Riverston School,Independent,,MIXED,1
203,Greenwich,2036293,100202,Colfes School,Independent,,MIXED,63
203,Greenwich,2036295,100756,Blackheath High School,Independent,,GIRLS,30
203,Greenwich,2038047,130405,Greenwich Community College at Plumstead Centre,General Further Education College,NA,MIXED,73
203,Greenwich,2036376,134827,Bellerbys College London,Independent,,MIXED,20
203,Greenwich,2034243,137473,Corelli College,Academy - converter mainstream,COMP,MIXED,49
203,Greenwich,2034000,138449,Harris Academy Greenwich,Academy sponsor led,COMP,MIXED,25
203,Greenwich,2034717,138966,Shooters Hill Post-16 Campus,Academy 16-19 converter,NA,MIXED,172
203,Greenwich,2034002,139786,"University Technical College, Royal Borough of Greenwich",Free school – UTC,COMP,BOYS,0
204,Hackney,2044283,100277,Haggerston School,Community school,COMP,GIRLS,43
204,Hackney,2044310,100279,Stoke Newington School and Sixth Form,Community school,COMP,MIXED,103
204,Hackney,2044641,100282,Our Lady's Convent Roman Catholic High School,Voluntary aided school,COMP,GIRLS,71
204,Hackney,2044697,100284,The Urswick School - A Church of England Secondary School,Voluntary aided school,COMP,MIXED,26
204,Hackney,2044714,100285,Cardinal Pole Roman Catholic School,Voluntary aided school,COMP,MIXED,61
204,Hackney,2048011,130407,Hackney Community College,General Further Education College,NA,MIXED,154
204,Hackney,2046906,131062,The Petchey Academy,Academy sponsor led,COMP,MIXED,65
204,Hackney,2046907,131609,The Bridge Academy,Academy sponsor led,COMP,MIXED,74
204,Hackney,2048600,133608,The Brooke House Sixth Form College,Sixth Form College,NA,MIXED,415
204,Hackney,2046905,134693,Mossbourne Community Academy,Academy sponsor led,COMP,MIXED,137
204,Hackney,2046909,136137,Skinners' Academy,Academy sponsor led,COMP,MIXED,17
204,Hackney,2044302,137442,Clapton Girls' Academy,Academy - converter mainstream,COMP,GIRLS,80
204,Hackney,2044000,138143,Lubavitch House School (Senior Girls),Voluntary aided school,COMP,GIRLS,0
205,Hammersmith and Fulham,2054314,100359,Phoenix High School,Foundation school,COMP,MIXED,29
205,Hammersmith and Fulham,2056011,100366,St Paul's Girls' School,Independent,,GIRLS,104
205,Hammersmith and Fulham,2056291,100369,The Godolphin and Latymer School,Independent,,GIRLS,105
205,Hammersmith and Fulham,2056306,100370,Latymer Upper School,Independent,,MIXED,179
205,Hammersmith and Fulham,2056399,100527,St James Senior Girls School,Independent,,GIRLS,29
205,Hammersmith and Fulham,2058009,130408,"Ealing, Hammersmith and West London College",General Further Education College,NA,MIXED,592
205,Hammersmith and Fulham,2056905,131752,Burlington Danes Academy,Academy sponsor led,COMP,MIXED,74
205,Hammersmith and Fulham,2054320,133545,William Morris Sixth Form,Community school,NA,MIXED,223
205,Hammersmith and Fulham,2056404,134735,Chelsea Independent College,Independent,,MIXED,41
