"Number of students passing a BTEC 90 credit diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 90-credit Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 90-credit Diploma,Music Technology (Electronic),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100192,The John Roan School,Voluntary Controlled School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,100277,Haggerston School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,10,7,0,3,0,0,0,0
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100973,Swanlea School,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,8,1,1,0,0,3,1,2
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 90-credit Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 90-credit Diploma,Engineering Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,6,0,2,2,1,1,0,0
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,6,0,0,4,0,2,0,0
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,6,0,3,2,1,0,0,0
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,6,0,0,5,0,1,0,0
Barnet,101360,St Mary's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,101564,Newman Catholic College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,12,3,2,1,4,1,1,0
