"Number of students passing a BTEC subsidiary diploma (with a single grade structure) by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,9,4,2,2,1
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,7,3,0,3,1
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,4,Supp,Supp,Supp,Supp
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Tourism,7,5,1,1,0
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Law / Legal Studies,1,Supp,Supp,Supp,Supp
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,5,Supp,Supp,Supp,Supp
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,10,7,0,3,0
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,18,6,4,8,0
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,18,7,5,6,0
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,1,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,2,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),6,6,0,0,0
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,16,3,1,11,1
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,18,9,9,0,0
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Technology (Electronic),5,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,9,4,4,1,0
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,12,5,2,4,1
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,8,4,2,1,1
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Public Services,1,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,2,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,7,4,3,0,0
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,14,6,7,1,0
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Finance / Accounting (General),15,8,2,5,0
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,5,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),4,Supp,Supp,Supp,Supp
Greenwich,100192,The John Roan School,Voluntary Controlled School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp
Greenwich,100192,The John Roan School,Voluntary Controlled School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,2,Supp,Supp,Supp,Supp
Greenwich,100192,The John Roan School,Voluntary Controlled School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,6,5,0,1,0
Greenwich,100192,The John Roan School,Voluntary Controlled School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,6,1,2,2,1
Hackney,100282,Our Lady's Convent Roman Catholic High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,1,Supp,Supp,Supp,Supp
Hackney,100284,The Urswick School - A Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,10,5,2,3,0
Hackney,100284,The Urswick School - A Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,7,1,1,4,1
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,1,Supp,Supp,Supp,Supp
Surrey,100528,St James Senior Boys' School,Independent School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,1,Supp,Supp,Supp,Supp
Westminster,100529,Davies Laing and Dick College,Independent School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,2,Supp,Supp,Supp,Supp
