"Number of students passing a BTEC foundation diploma by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction,Merit,Pass
Manchester,105591,The Manchester Grammar School,Independent School,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Camden,130403,The Working Men's College,Specialist Designated College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,4,Supp,Supp,Supp
Kensington and Chelsea,130410,Kensington and Chelsea College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,8,1,1,6
Lewisham,130415,LeSoCo,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,25,3,6,16
Wandsworth,130420,South Thames College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Barnet,130425,Barnet and Southgate College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,6,0,1,5
Croydon,130432,Croydon College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,15,10,2,3
Havering,130444,Havering College of Further and Higher Education,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Hillingdon,130446,Uxbridge College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,5,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,10,3,4,3
Walsall,130483,Walsall College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,28,9,8,11
Knowsley,130486,Knowsley Community College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,4,Supp,Supp,Supp
St. Helens,130488,St Helens College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Bury,130498,Bury College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,4,Supp,Supp,Supp
Tameside,130516,Tameside College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,6,4,1,1
Trafford,130519,Trafford College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Wigan,130521,Wigan and Leigh College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,10,4,4,2
Barnsley,130524,Barnsley College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,4,Supp,Supp,Supp
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,10,1,4,5
Sheffield,130531,The Sheffield College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Calderdale,130535,Calderdale College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Kirklees,130537,Kirklees College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,17,4,10,3
Wakefield,130549,Wakefield College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,5,Supp,Supp,Supp
Wakefield,130550,New College Pontefract,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Gateshead,130551,Gateshead College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
South Tyneside,130555,South Tyneside College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Middlesbrough,130571,Cleveland College of Art and Design,"Art, Design and Performing Art College",Pearson BTEC Level 3 Foundation Diploma,Art & Design,50,25,17,8
"Kingston upon Hull, City of",130580,Wilberforce College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Foundation Diploma,Art & Design,7,6,1,0
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
North Lincolnshire,130587,North Lindsey College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
North Yorkshire,130591,Craven College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
York,130594,York College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,25,4,13,8
West Berkshire,130602,Newbury College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Buckinghamshire,130608,Amersham and Wycombe College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,78,21,29,28
Cambridgeshire,130612,Huntingdonshire Regional College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Warrington,130617,Warrington Collegiate,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,6,2,3,1
Cheshire West and Chester,130618,West Cheshire College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,9,5,2,2
Cheshire East,130619,South Cheshire College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Cheshire West and Chester,130620,Mid-Cheshire College of Further Education,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Halton,130622,Riverside College Halton,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,7,2,5,0
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Foundation Diploma,Art & Design,5,Supp,Supp,Supp
Cornwall,130627,Cornwall College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Devon,130646,Petroc,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Poole,130652,The Bournemouth and Poole College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,11,5,2,4
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Foundation Diploma,Art & Design,19,6,9,4
East Sussex,130670,Bexhill College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,4,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,18,7,4,7
Southampton,130696,Southampton City College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Hertfordshire,130723,Oaklands College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,37,9,13,15
Lancashire,130738,Nelson and Colne College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,7,0,4,3
Northamptonshire,130769,Northampton College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Northamptonshire,130771,Tresham College of Further and Higher Education,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Northamptonshire,130772,Moulton College,Agriculture and Horticulture College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,5,Supp,Supp,Supp
Northumberland,130773,Northumberland College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Oxfordshire,130793,Abingdon and Witney College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Telford and Wrekin,130796,Telford College of Arts and Technology,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Somerset,130805,Yeovil College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Somerset,130806,Strode College,Tertiary College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,13,7,4,2
Staffordshire,130813,Stafford College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,2,Supp,Supp,Supp
Suffolk,130819,Lowestoft College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
Surrey,130825,Brooklands College,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,3,Supp,Supp,Supp
Swindon,130851,New College Swindon,General Further Education College,Pearson BTEC Level 3 Foundation Diploma,Art & Design,1,Supp,Supp,Supp
