"Number of students passing a BTEC diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,23,8,11,2,2,0,0,0
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Diploma,Art & Design,11,2,4,1,2,1,0,1
Camden,100051,Regent High School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,8,3,0,1,3,1,0,0
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Diploma,Engineering Studies,8,1,2,1,0,0,1,3
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,9,0,0,1,1,3,4,0
Camden,100052,Hampstead School,Community School,Pearson BTEC Level 3 Diploma,Speech & Drama,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100053,Acland Burghley School,Community School,Pearson BTEC Level 3 Diploma,Multimedia,14,0,1,1,2,2,5,3
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,13,0,5,2,4,2,0,0
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Diploma,Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,Pearson BTEC Level 3 Diploma,Speech & Drama,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Diploma,Business Studies,26,2,2,9,6,7,0,0
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Diploma,Music Technology (Electronic),10,3,2,2,0,2,1,0
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,7,1,5,0,1,0,0,0
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Diploma,Business Studies,11,0,0,2,2,2,1,4
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Diploma,Art & Design,15,8,3,1,0,2,0,1
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,14,4,1,4,2,3,0,0
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Diploma,Multimedia,10,0,0,4,6,0,0,0
Greenwich,100190,Thomas Tallis School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,8,2,4,2,0,0,0,0
