Number of students passing a BTEC diploma by institution subject and grade achieved,,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Wokingham,110062,The Bulmershe School,Community School,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Kent,118793,Swadelands School,Community School,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Kent,119001,Kent College (Canterbury),Independent School,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,4,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Sheffield,130531,The Sheffield College,Tertiary College,Pearson BTEC Level 3 Diploma,Small Business Management,5,Supp,Supp,Supp,Supp
Gateshead,130551,Gateshead College,Tertiary College,Pearson BTEC Level 3 Diploma,Construction Technology (Basic),14,0,0,0,14
"Kingston upon Hull, City of",130579,Hull College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,Pearson BTEC Level 3 Diploma,Outdoor Education (Teaching / Training),11,0,0,0,11
West Berkshire,130602,Newbury College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Buckinghamshire,130608,Amersham and Wycombe College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,1,Supp,Supp,Supp,Supp
Buckinghamshire,130608,Amersham and Wycombe College,General Further Education College,Pearson BTEC Level 3 Diploma,Sports Organisation,1,Supp,Supp,Supp,Supp
Milton Keynes,130609,Milton Keynes College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,2,Supp,Supp,Supp,Supp
Warrington,130617,Warrington Collegiate,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,2,Supp,Supp,Supp,Supp
Cheshire West and Chester,130620,Mid-Cheshire College of Further Education,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,11,0,0,0,11
Cornwall,130627,Cornwall College,General Further Education College,Pearson BTEC Level 3 Diploma,Graphic Design,9,0,0,0,9
Cumbria,130633,Furness College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Torbay,130648,South Devon College,General Further Education College,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Dorset,130653,Weymouth College,General Further Education College,Pearson BTEC Level 3 Diploma,Photography,1,Supp,Supp,Supp,Supp
County Durham,130658,Derwentside College,Tertiary College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
County Durham,130659,New College Durham,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,3,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Hampshire,130703,The Sixth Form College Farnborough,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Diploma,Systems / Network Management,12,0,0,0,12
Hertfordshire,130722,Hertford Regional College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,3,Supp,Supp,Supp,Supp
Kent,130725,North West Kent College of Technology,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,16,0,0,0,16
Kent,130727,West Kent and Ashford College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Kent,130728,East Kent College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,4,Supp,Supp,Supp,Supp
Kent,130728,East Kent College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Leicestershire,130748,Loughborough College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,3,Supp,Supp,Supp,Supp
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Diploma,Finance / Accounting (General),7,0,0,0,7
Norfolk,130764,Norwich City College of Further and Higher Education,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,6,0,0,0,0
Northumberland,130773,Northumberland College,General Further Education College,Pearson BTEC Level 3 Diploma,Outdoor Education (Teaching / Training),2,Supp,Supp,Supp,Supp
Nottingham,130776,New College Nottingham,General Further Education College,Pearson BTEC Level 3 Diploma,Retailing,1,Supp,Supp,Supp,Supp
Nottinghamshire,130779,North Nottinghamshire College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,Pearson BTEC Level 3 Diploma,Systems / Network Management,4,Supp,Supp,Supp,Supp
Staffordshire,130813,Stafford College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Surrey,130822,North East Surrey College of Technology,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Surrey,130823,Guildford College of Further and Higher Education,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,Pearson BTEC Level 3 Diploma,Interactive Video,2,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,2,Supp,Supp,Supp,Supp
West Sussex,130843,Chichester College,General Further Education College,Pearson BTEC Level 3 Diploma,Small Business Management,2,Supp,Supp,Supp,Supp
Swindon,130849,Swindon College,General Further Education College,Pearson BTEC Level 3 Diploma,Sports Organisation,4,Supp,Supp,Supp,Supp
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Nottingham,134253,Djanogly City Academy,Sponsored Academy,Pearson BTEC Level 3 Diploma,Fashion / Textiles Design,1,Supp,Supp,Supp,Supp
Barnet,134798,London Academy,Sponsored Academy,Pearson BTEC Level 3 Diploma,Fashion / Textiles Design,7,0,0,0,7
Leeds,135771,Leeds City  College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,3,Supp,Supp,Supp,Supp
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,Pearson BTEC Level 3 Diploma,Water Sports,3,Supp,Supp,Supp,Supp
Kent,136379,Highworth Grammar School,Academy,Pearson BTEC Level 3 Diploma,Systems / Network Management,5,Supp,Supp,Supp,Supp
Kent,136583,Towers School and Sixth Form Centre,Academy,Pearson BTEC Level 3 Diploma,Systems / Network Management,6,0,0,0,6
Slough,137287,Slough and Eton CofE Business and Enterprise College,Academy,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Leeds,137383,Woodkirk Academy,Academy,Pearson BTEC Level 3 Diploma,Fashion / Textiles Design,4,Supp,Supp,Supp,Supp
Kent,137833,The Maplesden Noakes School,Academy,Pearson BTEC Level 3 Diploma,Systems / Network Management,2,Supp,Supp,Supp,Supp
Kent,138019,The Norton Knatchbull School,Academy,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Oxfordshire,138667,Lord Williams's School,Academy,Pearson BTEC Level 3 Diploma,Sports Organisation,8,0,0,0,8
Norfolk,138670,Easton & Otley College,General Further Education College,Pearson BTEC Level 3 Diploma,Sports Organisation,1,Supp,Supp,Supp,Supp
South Gloucestershire,139238,South Gloucestershire and Stroud College,General Further Education College,Pearson BTEC Level 3 Diploma,Systems / Network Management,1,Supp,Supp,Supp,Supp
Suffolk,139867,Mildenhall College Academy,Academy,Pearson BTEC Level 3 Diploma,Fashion / Textiles Design,2,Supp,Supp,Supp,Supp
