"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,3,Supp,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,2,Supp,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Greenwich,100189,Crown Woods College,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Greenwich,100190,Thomas Tallis School,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,2,Supp,Supp,Supp,Supp,Supp
Hackney,100284,The Urswick School - A Church of England Secondary School,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,2,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100359,Phoenix High School,Foundation School,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,8,0,0,0,8,0
Islington,100459,St Aloysius RC College,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,6,0,0,0,6,0
Kensington and Chelsea,100537,Ashbourne Independent School,Independent School,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100540,Mander Portman Woodward School,Independent School,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,10,0,0,2,8,0
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,1st4sport Level 3 Certificate in Coaching Tennis (QCF),Sports Coaching,1,Supp,Supp,Supp,Supp,Supp
Lambeth,100642,London Nautical School,Foundation School,City & Guilds Level 3 Award in Self Tanning (QCF),Beauty Therapy,1,Supp,Supp,Supp,Supp,Supp
Southwark,100849,St Saviour's and St Olave's Church of England School,Voluntary Aided School,ITC Level 3 Award in First Aid at Work (QCF),First Aid,11,0,0,0,7,4
Southwark,100849,St Saviour's and St Olave's Church of England School,Voluntary Aided School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Southwark,100861,Dulwich College,Independent School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Southwark,100864,Alleyn's School,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Southwark,100864,Alleyn's School,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100968,Mulberry School for Girls,Community School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,1,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,1,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,NOCN Level 3 Award in Progression (QCF),Self Development,1,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,ABC Level 3 Award in Visual Art (QCF),Visual Arts,1,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,2,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,City & Guilds Level 3 Diploma in Increasing Participation in Sport and Active Leisure in Community Settings (QCF),Sports Organisation,2,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,14,0,0,0,14,0
Westminster,101162,Westminster School,Independent School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Westminster,101162,Westminster School,Independent School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,2,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,OCR Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,13,0,0,0,13,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,6,0,0,0,6,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,7,0,0,0,7,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,7,0,0,0,7,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,1st4sport Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,City & Guilds Level 3 Award in Principles of Equality and Diversity (QCF),Advice Skills,2,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,City & Guilds Level 3 Award in Debt Recovery Practice in the Civil Courts (QCF),Credit Management,2,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,City & Guilds Level 3 Certificate For  Legal Secretaries (QCF),Legal Secretarial Work,2,Supp,Supp,Supp,Supp,Supp
Barnet,101361,St Michael's Catholic Grammar School,Voluntary Aided School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,22,0,0,0,22,0
Croydon,101811,Archbishop Tenison's CofE High School,Voluntary Aided School,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,1,Supp,Supp,Supp,Supp,Supp
Croydon,101811,Archbishop Tenison's CofE High School,Voluntary Aided School,CMI Level 3 Award in First Line Management (QCF),Supervisory Skills,21,0,0,0,21,0
Croydon,101823,Coloma Convent Girls' School,Voluntary Aided School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,13,0,0,5,8,0
Croydon,101837,Whitgift School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,9,0,0,3,6,0
Croydon,101846,Old Palace of John Whitgift School,Independent School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,4,Supp,Supp,Supp,Supp,Supp
Ealing,101930,Dormers Wells High School,Community School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,1,Supp,Supp,Supp,Supp,Supp
Ealing,101940,Greenford High School,Foundation School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Ealing,101943,Northolt High School,Foundation School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Haringey,102154,Highgate Wood Secondary School,Community School,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Harrow,102239,Whitmore High School,Community School,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,102256,Purcell School,Independent School,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,2,Supp,Supp,Supp,Supp,Supp
Hounslow,102539,The Heathland School,Community School,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,102611,Surbiton High School,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,19,0,1,3,15,0
Merton,102681,Wimbledon College,Voluntary Aided School,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
