"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Camden,100049,Haverstock School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),11,0,3,5,3,0,0,0
Camden,100049,Haverstock School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),11,0,4,6,1,0,0,0
Camden,100050,Parliament Hill School,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100050,Parliament Hill School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,12,0,3,6,2,1,0,0
Camden,100052,Hampstead School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),22,0,9,10,3,0,0,0
Camden,100052,Hampstead School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),22,0,13,5,2,0,0,2
Greenwich,100183,Plumstead Manor School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100183,Plumstead Manor School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),8,0,2,2,4,0,0,0
Greenwich,100183,Plumstead Manor School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),8,0,4,1,3,0,0,0
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),14,0,1,3,6,1,0,3
Greenwich,100187,Woolwich Polytechnic School for Boys,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),7,0,0,2,5,0,0,0
Greenwich,100200,Riverston School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Greenwich,100200,Riverston School,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,100359,Phoenix High School,Foundation School,CACHE Level 3 Extended Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),15,0,2,3,6,2,0,2
Lewisham,100745,Forest Hill School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),15,0,1,7,5,2,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),21,0,0,2,6,7,0,6
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),15,0,1,3,4,5,1,1
