"Number of students entered for principal learning diploma - level 3 by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade SA,Grade A,Grade B,Grade C,Grade D,Grade E,No results,
Redbridge,102853,Loxford School of Science and Technology,Community School,Principal Learning (Diploma) - Level 3,Principal Learning IT,10,0,0,4,2,4,0,0,
Birmingham,103541,Archbishop Ilsley Catholic School,Voluntary Aided School,Principal Learning (Diploma) - Level 3,Health Care Management Studies,8,0,0,3,2,3,0,0,
Sheffield,107140,King Edward VII School,Community School,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,13,0,0,0,5,8,0,0,
Cumbria,112394,Southfield Technology College,Community School,Principal Learning (Diploma) - Level 3,Principal Learning Creative and Media,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Cumbria,112395,Stainburn School and Science College,Community School,Principal Learning (Diploma) - Level 3,Principal Learning Creative and Media,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Oxfordshire,123234,The Cooper School,Community School,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Walsall,130483,Walsall College,General Further Education College,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Sheffield,130531,The Sheffield College,Tertiary College,Principal Learning (Diploma) - Level 3,Retailing,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
York,130594,York College,General Further Education College,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Principal Learning (Diploma) - Level 3,Principal Learning IT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Hertfordshire,130720,West Herts College,General Further Education College,Principal Learning (Diploma) - Level 3,hospitality / catering (general),9,0,1,3,5,0,0,0,
Swindon,130851,New College Swindon,General Further Education College,Principal Learning (Diploma) - Level 3,Business/finance,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Kent,131583,Ursuline College,Voluntary Aided School,Principal Learning (Diploma) - Level 3,Sport Studies,6,0,0,0,2,4,0,0,
Southwark,135315,Walworth Academy,Sponsored Academy,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,9,0,0,2,0,4,3,0,
Sheffield,135503,Forge Valley Community School,Foundation School,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
West Sussex,135744,The Sir Robert Woodard Academy,Sponsored Academy,Principal Learning (Diploma) - Level 3,Principal Learning Creative and Media,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Lincolnshire,136044,St George's Academy,Sponsored Academy,Principal Learning (Diploma) - Level 3,Health Care Management Studies,11,0,0,3,7,1,0,0,
Lincolnshire,136044,St George's Academy,Sponsored Academy,Principal Learning (Diploma) - Level 3,Principal Learning Construction and Built Environment,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Bromley,136551,Newstead Wood School,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
North Somerset,136722,Backwell School,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Creative and Media,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Walsall,136933,Black Country UTC,Free School - University Technical College,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,19,0,1,3,2,10,2,1,
Nottinghamshire,137158,The Manor Academy,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Medway,137376,The Thomas Aveling School,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Creative and Media,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Derbyshire,137606,Heanor Gate Science College,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning IT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Gateshead,137851,St Thomas More Catholic School,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Central Bedfordshire,137948,Samuel Whitbread Academy,Converter Academy,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,20,0,2,5,8,3,1,1,
East Sussex,138472,Hailsham Community College,Converter Academy,Principal Learning (Diploma) - Level 3,Health Care Management Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,
Staffordshire,139234,The JCB Academy,Free School - University Technical College,Principal Learning (Diploma) - Level 3,Principal Learning Engineering,43,1,8,11,16,7,0,0,
