"Number of students passing NVQ (National Vocational Qualification) language unit at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,French : Listening,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,French : Reading,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,French : Speaking,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,French : Writing,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,Spanish : Listening,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,Spanish : Reading,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,Spanish : Speaking,3,Supp
Brighton and Hove,114607,Hove Park School and Sixth Form Centre,Community School,NVQ Language Unit at Level 3,Spanish : Writing,3,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,NVQ Language Unit at Level 3,French : Listening,1,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,NVQ Language Unit at Level 3,French : Reading,1,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,NVQ Language Unit at Level 3,French : Speaking,1,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,NVQ Language Unit at Level 3,French : Writing,1,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Listening,2,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Reading,2,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Speaking,2,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Writing,2,Supp
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,French : Listening,7,7
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,French : Reading,7,7
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,French : Speaking,7,7
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,French : Writing,7,7
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Listening,6,6
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Reading,6,6
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Speaking,6,6
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,NVQ Language Unit at Level 3,Spanish : Writing,6,6
West Sussex,130845,Worthing College,General Further Education College,NVQ Language Unit at Level 3,Spanish : Listening,1,Supp
West Sussex,130845,Worthing College,General Further Education College,NVQ Language Unit at Level 3,Spanish : Reading,1,Supp
West Sussex,130845,Worthing College,General Further Education College,NVQ Language Unit at Level 3,Spanish : Speaking,1,Supp
West Sussex,130845,Worthing College,General Further Education College,NVQ Language Unit at Level 3,Spanish : Writing,1,Supp
