"Number of students entered for asset languages advanced (level 3) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,grade 10 Pass,grade 11 Pass,grade 12 Pass,No results,,,
Birmingham,103585,King Edward VI High School for Girls,Independent School,Asset Languages Advanced (Level 3),Chinese Listening,1,Supp,Supp,Supp,Supp,,,
Leeds,108090,Brigshaw High School and Language College,Foundation School,Asset Languages Advanced (Level 3),French : Speaking,1,Supp,Supp,Supp,Supp,,,
County Durham,114312,Durham Johnston Comprehensive School,Community School,Asset Languages Advanced (Level 3),Chinese Listening,4,Supp,Supp,Supp,Supp,,,
County Durham,114312,Durham Johnston Comprehensive School,Community School,Asset Languages Advanced (Level 3),Chinese Reading,1,Supp,Supp,Supp,Supp,,,
County Durham,114336,Barnard Castle School,Independent School,Asset Languages Advanced (Level 3),French : Listening,1,Supp,Supp,Supp,Supp,,,
County Durham,114336,Barnard Castle School,Independent School,Asset Languages Advanced (Level 3),French : Reading,1,Supp,Supp,Supp,Supp,,,
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Asset Languages Advanced (Level 3),Italian Listening,2,Supp,Supp,Supp,Supp,,,
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,Asset Languages Advanced (Level 3),Italian Reading,3,Supp,Supp,Supp,Supp,,,
Surrey,130829,Reigate College,Sixth Form Centre / Consortia,Asset Languages Advanced (Level 3),German : Listening,1,Supp,Supp,Supp,Supp,,,
Surrey,130829,Reigate College,Sixth Form Centre / Consortia,Asset Languages Advanced (Level 3),German : Reading,1,Supp,Supp,Supp,Supp,,,
Liverpool,132119,Auckland College,Independent School,Asset Languages Advanced (Level 3),Chinese Listening,1,Supp,Supp,Supp,Supp,,,
Liverpool,132119,Auckland College,Independent School,Asset Languages Advanced (Level 3),Chinese Speaking,1,Supp,Supp,Supp,Supp,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),French : Listening,15,0,0,0,15,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),French : Reading,15,0,0,0,15,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),German : Listening,4,Supp,Supp,Supp,Supp,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),German : Reading,4,Supp,Supp,Supp,Supp,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),Spanish : Listening,16,0,0,0,16,,,
Trafford,136458,Altrincham Grammar School for Boys,Converter Academy,Asset Languages Advanced (Level 3),Spanish : Reading,16,0,0,0,16,,,
Hertfordshire,136901,St Clement Danes School,Converter Academy,Asset Languages Advanced (Level 3),German : Listening,8,3,1,1,3,,,
Hertfordshire,136901,St Clement Danes School,Converter Academy,Asset Languages Advanced (Level 3),German : Reading,8,3,0,2,3,,,
