"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Kensington and Chelsea,100540,Mander Portman Woodward School,Independent School,Key Skill at Level 3,Learning Skills,1,Supp
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,3,Supp
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Key Skill at Level 3,Problem Solving,7,7
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Key Skill at Level 3,Teamworking,6,6
Ealing,101943,Northolt High School,Foundation School,Key Skill at Level 3,Learning Skills,1,Supp
Ealing,101943,Northolt High School,Foundation School,Key Skill at Level 3,Problem Solving,1,Supp
Ealing,101943,Northolt High School,Foundation School,Key Skill at Level 3,Teamworking,1,Supp
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,1,Supp
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,Key Skill at Level 3,Problem Solving,1,Supp
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,Key Skill at Level 3,Teamworking,1,Supp
Hillingdon,102449,Abbotsfield School,Foundation School,Key Skill at Level 3,Learning Skills,11,11
Hillingdon,102449,Abbotsfield School,Foundation School,Key Skill at Level 3,Problem Solving,11,11
Hillingdon,102449,Abbotsfield School,Foundation School,Key Skill at Level 3,Teamworking,11,11
Birmingham,103536,Bishop Walsh Catholic School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,73,73
Birmingham,103536,Bishop Walsh Catholic School,Voluntary Aided School,Key Skill at Level 3,Teamworking,73,73
Birmingham,103576,Highclare School,Independent School,Key Skill at Level 3,Learning Skills,3,Supp
Birmingham,103599,Abbey College,Independent School,Key Skill at Level 3,Teamworking,1,Supp
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,Key Skill at Level 3,Learning Skills,59,59
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,Key Skill at Level 3,Problem Solving,2,Supp
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,Key Skill at Level 3,Teamworking,48,48
Coventry,103751,Bablake School,Independent School,Key Skill at Level 3,Learning Skills,5,Supp
Coventry,103751,Bablake School,Independent School,Key Skill at Level 3,Problem Solving,5,Supp
Liverpool,104712,St Julie's Catholic High School,Voluntary Aided School,Key Skill at Level 3,Teamworking,40,40
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Key Skill at Level 3,Learning Skills,8,8
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Key Skill at Level 3,Problem Solving,15,15
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Key Skill at Level 3,Teamworking,15,15
Rotherham,106959,Swinton Community School,Community School,Key Skill at Level 3,Learning Skills,2,Supp
Rotherham,106959,Swinton Community School,Community School,Key Skill at Level 3,Problem Solving,2,Supp
Rotherham,106959,Swinton Community School,Community School,Key Skill at Level 3,Teamworking,2,Supp
Bradford,107366,Tong High School,Foundation School,Key Skill at Level 3,Learning Skills,11,11
North Tyneside,108642,Monkseaton  High School,Foundation School,Key Skill at Level 3,Learning Skills,18,18
North Tyneside,108642,Monkseaton  High School,Foundation School,Key Skill at Level 3,Problem Solving,22,22
North Tyneside,108642,Monkseaton  High School,Foundation School,Key Skill at Level 3,Teamworking,17,17
Cumbria,112396,Whitehaven School,Community School,Key Skill at Level 3,Learning Skills,48,48
Cumbria,112396,Whitehaven School,Community School,Key Skill at Level 3,Problem Solving,50,50
Cumbria,112396,Whitehaven School,Community School,Key Skill at Level 3,Teamworking,50,50
Derbyshire,112994,Friesland School,Foundation School,Key Skill at Level 3,Basic Communication Skills,1,Supp
Derbyshire,112996,Lady Manners School,Foundation School,Key Skill at Level 3,Learning Skills,11,11
Plymouth,113552,Notre Dame RC School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,7,7
Plymouth,113552,Notre Dame RC School,Voluntary Aided School,Key Skill at Level 3,Problem Solving,7,7
Plymouth,113552,Notre Dame RC School,Voluntary Aided School,Key Skill at Level 3,Teamworking,7,7
County Durham,114300,Whitworth Park School and Sixth Form College,Foundation School,Key Skill at Level 3,Learning Skills,12,12
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Key Skill at Level 3,Learning Skills,52,52
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Key Skill at Level 3,Teamworking,51,51
Worcestershire,116994,Hagley Catholic High School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,2,Supp
East Riding of Yorkshire,118085,Headlands School and Community Science College,Community School,Key Skill at Level 3,Learning Skills,5,Supp
East Riding of Yorkshire,118085,Headlands School and Community Science College,Community School,Key Skill at Level 3,Problem Solving,5,Supp
East Riding of Yorkshire,118085,Headlands School and Community Science College,Community School,Key Skill at Level 3,Teamworking,5,Supp
Kent,118803,The Community College Whitstable,Community School,Key Skill at Level 3,Teamworking,4,Supp
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,Key Skill at Level 3,Learning Skills,61,61
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,Key Skill at Level 3,Problem Solving,61,61
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,Key Skill at Level 3,Teamworking,61,61
Leicester,120307,Saint Paul's Catholic School,Voluntary Aided School,Key Skill at Level 3,Learning Skills,2,Supp
Leicester,120307,Saint Paul's Catholic School,Voluntary Aided School,Key Skill at Level 3,Problem Solving,2,Supp
Leicester,120307,Saint Paul's Catholic School,Voluntary Aided School,Key Skill at Level 3,Teamworking,2,Supp
Shropshire,123620,Shrewsbury High School,Independent School,Key Skill at Level 3,Computer Appreciation / Introduction,1,Supp
Staffordshire,124392,"Paget High School, Business and Enterprise College",Community School,Key Skill at Level 3,Learning Skills,5,Supp
Staffordshire,124392,"Paget High School, Business and Enterprise College",Community School,Key Skill at Level 3,Problem Solving,5,Supp
Staffordshire,124392,"Paget High School, Business and Enterprise College",Community School,Key Skill at Level 3,Teamworking,5,Supp
Stoke-on-Trent,124465,St Thomas More Catholic College,Voluntary Aided School,Key Skill at Level 3,Learning Skills,32,32
Stoke-on-Trent,124465,St Thomas More Catholic College,Voluntary Aided School,Key Skill at Level 3,Teamworking,1,Supp
Warwickshire,125758,St Thomas More Catholic School and Sixth Form College,Voluntary Aided School,Key Skill at Level 3,Teamworking,51,51
Warwickshire,125787,Princethorpe College,Independent School,Key Skill at Level 3,Learning Skills,1,Supp
Warwickshire,125787,Princethorpe College,Independent School,Key Skill at Level 3,Problem Solving,1,Supp
Lewisham,130415,LeSoCo,General Further Education College,Key Skill at Level 3,Learning Skills,3,Supp
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Wandsworth,130420,South Thames College,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Key Skill at Level 3,Teamworking,25,25
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,Key Skill at Level 3,Learning Skills,1,Supp
Westminster,130423,City of Westminster College,General Further Education College,Key Skill at Level 3,Learning Skills,171,171
Brent,130429,The College of North West London,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Brent,130429,The College of North West London,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Bromley,130430,Bromley College of Further and Higher Education,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Hillingdon,130446,Uxbridge College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Birmingham,130459,Bournville College of Further Education,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Coventry,130472,Henley College Coventry,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Coventry,130473,City College Coventry,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Dudley,130476,Halesowen College,Tertiary College,Key Skill at Level 3,Learning Skills,5,Supp
Dudley,130478,King Edward VI College Stourbridge,Further Education Sector Institution,Key Skill at Level 3,Learning Skills,5,Supp
Sandwell,130479,Sandwell College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Sandwell,130479,Sandwell College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
