"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Camden,100050,Parliament Hill School,Community School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100053,Acland Burghley School,Community School,Applied GCE Double Award,Applied Art & Design,10,0,0,1,2,0,2,2,0,1,1,1,0
Camden,100053,Acland Burghley School,Community School,Applied GCE Double Award,Applied Business,8,0,1,0,3,0,0,4,0,0,0,0,0
Camden,100053,Acland Burghley School,Community School,Applied GCE Double Award,Applied ICT,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,14,0,0,0,1,1,2,4,5,0,0,0,1
Camden,100056,William Ellis School,Voluntary Aided School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,17,0,0,0,0,0,4,1,3,5,3,1,0
Greenwich,100183,Plumstead Manor School,Community School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100452,Highbury Grove School,Community School,Applied GCE Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100455,Highbury Fields School,Community School,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100458,Central Foundation Boys' School,Voluntary Aided School,Applied GCE Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,100506,The Cardinal Vaughan Memorial RC School,Voluntary Aided School,Applied GCE Double Award,Applied Business,23,1,5,0,5,9,2,0,1,0,0,0,0
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,Applied GCE Double Award,Applied Business,25,0,0,0,0,0,2,6,2,9,2,3,1
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,6,0,0,1,1,0,0,2,1,0,1,0,0
Ealing,101939,Brentside High School,Foundation School,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101939,Brentside High School,Foundation School,Applied GCE Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101939,Brentside High School,Foundation School,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,1,1,0,4,0,0,0,0
Ealing,101940,Greenford High School,Foundation School,Applied GCE Double Award,Applied Business,33,0,4,1,11,4,5,4,3,1,0,0,0
Ealing,101940,Greenford High School,Foundation School,Applied GCE Double Award,Applied Science,16,0,0,0,0,0,3,3,3,7,0,0,0
Ealing,101943,Northolt High School,Foundation School,Applied GCE Double Award,Applied Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102047,Southgate School,Community School,Applied GCE Double Award,Applied Art & Design,8,0,1,1,0,3,1,2,0,0,0,0,0
Enfield,102047,Southgate School,Community School,Applied GCE Double Award,Applied Business,12,0,0,0,0,1,4,3,2,1,1,0,0
Enfield,102056,Broomfield School,Foundation School,Applied GCE Double Award,Applied ICT,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Haringey,102156,Fortismere School,Foundation School,Applied GCE Double Award,Applied ICT,11,0,0,0,0,2,2,4,1,0,2,0,0
Hounslow,102539,The Heathland School,Community School,Applied GCE Double Award,Applied Business,32,0,0,3,2,3,9,4,6,2,2,1,0
Merton,102683,Ursuline High School Wimbledon,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,0,1,0,4,1,0,0
Newham,102786,St Angela's Ursuline School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,33,0,1,1,3,9,4,9,4,2,0,0,0
Newham,102787,St Bonaventure's RC School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102849,Caterham High School,Community School,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102851,Wanstead High School,Community School,Applied GCE Double Award,Applied Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,102851,Wanstead High School,Community School,Applied GCE Double Award,Health & Social Care,11,0,1,0,3,2,4,0,1,0,0,0,0
Birmingham,103519,Moseley School,Foundation School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103522,John Willmott School,Community School,Applied GCE Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103522,John Willmott School,Community School,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103560,Bishop Challoner Catholic College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Applied GCE Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,1,1,2,2,0,0,0,0
Walsall,104259,"St Thomas More Catholic School, Willenhall",Voluntary Aided School,Applied GCE Double Award,Health & Social Care,11,0,0,0,1,1,1,2,2,2,1,1,0
Liverpool,104703,King David High School,Voluntary Aided School,Applied GCE Double Award,Applied Business,8,0,0,0,0,2,0,2,2,2,0,0,0
Liverpool,104705,"Archbishop Blanch CofE VA High School, A Technology College and Training School",Voluntary Aided School,Applied GCE Double Award,Health & Social Care,6,0,0,0,1,1,0,0,3,0,0,0,1
Liverpool,104713,"Broughton Hall High School, A Technology College",Voluntary Aided School,Applied GCE Double Award,Applied Business,9,0,0,0,1,2,4,1,1,0,0,0,0
