"Number of students entered for applied AS level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Camden,100053,Acland Burghley School,Community School,Applied GCE AS level Double Award,Applied Art & Design,11,2,0,1,2,3,0,0,1,1,1
Camden,100053,Acland Burghley School,Community School,Applied GCE AS level Double Award,Applied Business,8,1,3,1,2,1,0,0,0,0,0
Camden,100053,Acland Burghley School,Community School,Applied GCE AS level Double Award,Applied ICT,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,14,0,0,2,4,3,3,2,0,0,0
Camden,100059,La Sainte Union Catholic Secondary School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,17,0,0,0,1,3,3,3,5,2,0
Greenwich,100183,Plumstead Manor School,Community School,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100452,Highbury Grove School,Community School,Applied GCE AS level Double Award,Applied Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,100455,Highbury Fields School,Community School,Applied GCE AS level Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,6,1,0,1,0,1,2,1,0,0,0
Ealing,101939,Brentside High School,Foundation School,Applied GCE AS level Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101939,Brentside High School,Foundation School,Applied GCE AS level Double Award,Applied Science,6,0,0,0,0,0,1,0,2,1,2
Ealing,101939,Brentside High School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,1,1,0,3,1,0,0,0
Ealing,101940,Greenford High School,Foundation School,Applied GCE AS level Double Award,Applied Business,34,12,7,7,4,3,1,0,0,0,0
