"Number of students entered for applied A level /AS level combined award by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Applied GCE A level / AS level combined,Applied Science,6,0,0,0,2,0,0,1,2,1,0,0,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,107139,High Storrs School,Community School,Applied GCE A level / AS level combined,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE A level / AS level combined,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108076,Roundhay School,Community School,Applied GCE A level / AS level combined,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE A level / AS level combined,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,111424,Bishop Heber High School,Foundation School,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117528,The Cavendish School,Community School,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,122367,St Benet Biscop Catholic Voluntary Aided High School,Voluntary Aided School,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126448,Melksham Oak Community School,Community School,Applied GCE A level / AS level combined,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,Applied GCE A level / AS level combined,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,130514,Aquinas College,Further Education Sector Institution,Applied GCE A level / AS level combined,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,130549,Wakefield College,General Further Education College,Applied GCE A level / AS level combined,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Middlesbrough,130571,Cleveland College of Art and Design,"Art, Design and Performing Art College",Applied GCE A level / AS level combined,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE A level / AS level combined,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,133435,Sussex Downs College,General Further Education College,Applied GCE A level / AS level combined,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE A level / AS level combined,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,135565,The Priory Academy LSST,Sponsored Academy,Applied GCE A level / AS level combined,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,135961,Outwood Grange Academy,Sponsored Academy,Applied GCE A level / AS level combined,Applied ICT,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,135967,Kettering Science Academy,Sponsored Academy,Applied GCE A level / AS level combined,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,135974,The Crest Boys' Academy,Sponsored Academy,Applied GCE A level / AS level combined,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,136267,Chadwell Heath Academy,Converter Academy,Applied GCE A level / AS level combined,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,136271,Hartismere School,Converter Academy,Applied GCE A level / AS level combined,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,136301,Brinsworth Comprehensive School,Converter Academy,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Yorkshire,137139,St Aidan's Church of England High School,Converter Academy,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137305,St Ivo School,Converter Academy,Applied GCE A level / AS level combined,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137305,St Ivo School,Converter Academy,Applied GCE A level / AS level combined,Travel & Tourism,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137355,Waddesdon Church of England School,Converter Academy,Applied GCE A level / AS level combined,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137475,Hinchingbrooke School,Converter Academy,Applied GCE A level / AS level combined,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
