"Number of students entered for an International Baccalaureate diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,,,,,,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Grade 45,Grade 44,Grade 43,Grade 42,Grade 41,Grade 40,Grade 39,Grade 38,Grade 37,Grade 36,Grade 35,Grade 34,Grade 33,Grade 32,Grade 31,Grade 30,Grade 29,Grade 28,Grade 27,Grade 26,Grade 25,Grade 24,No results
Hammersmith and Fulham,100369,The Godolphin and Latymer School,Independent School,International Baccalaureate,18,1,4,1,2,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lewisham,100740,Deptford Green School,Community School,International Baccalaureate,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,5
Lewisham,100754,St Dunstan's College,Independent School,International Baccalaureate,9,0,0,0,0,0,1,0,0,2,1,0,1,1,2,0,0,1,0,0,0,0,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,International Baccalaureate,36,0,0,0,0,0,2,0,0,0,4,3,1,1,2,1,1,6,1,2,3,1,1,7
Barnet,101391,Dwight School London,Independent School,International Baccalaureate,21,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,2,2,3,2,1,0,4
Croydon,101837,Whitgift School,Independent School,International Baccalaureate,30,2,0,2,0,3,2,5,1,4,1,1,1,2,4,0,0,0,0,1,1,0,0,0
Ealing,101957,King Fahad Academy,Independent School,International Baccalaureate,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102257,North London Collegiate School,Independent School,International Baccalaureate,22,4,6,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
